serial	prewt	an20s1	an20s2	an20s3	an20s4	an20s5	an20s6	an20s7	an20s8	an20s9	an20s10	an20s11	an20s12	an20s13	an20s14	an20s15	an20s16	an20s17	an20s18	an20s19	an20s20	an20s21	an20s22	an20s23	an20s24	an20s25	an20s26	an20s27	an20s28	an20s29	an20s30	an20s31	an20s32	an20s33	an20s34	an20s35	an20s36	an20s37	an20s38	an20s39	an20s40	an20s41	an20s42	an20s43	an20s44	an20s45	an20s46	an20s47	an20s48	an20s49	an20s50	an20s51	an20s52	an20s53	an20s54	an20s55	an20s56	an20s57	an20s58	an20s59	an20s60	an20s61	an20s62	an20s63	an20s64	an20s65	an20s66	an20s67	an20s68	an20s69	an20s70	an20s71	an20s72	an20s73	an20s74	an20s75	an20s76	an20s77	an20s78	an20s79	an20s80	an20s81	an20s82	an20s83	an20s84	an20s85	an20s86	an20s87	an20s88	an20s89	an20s90	an20s91	an20s92	an20s93	an20s94	an20s95	an20s96	an20s97	an20s98	an20s99	an20s100	an20s101	an20s102	an20s103	an20s104	an20s105	an20s106	an20s107
11002	.406	0	0	0	0	92.4175	0	0	27.0198	0	0	31.45	0	188.7967	49.566	0	0	282.1	0	0	3.91	0	0	7.1225	0	0	0	0	0	0	.9375	0	0	0	0	0	.2	0	0	0	103.7	144.743	25.8	0	0	59.25	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	46.5	6	0	0	14.62	0	0	0	434.2	0	50.625	28	74	0	0	0	0	3.0375	.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.95	50.13	0	0	0	0	99.8725	2.6527	0	0	0	0	0
11003	.504	0	0	0	0	23.1	158.275	0	0	177.1	23.625	67.0257	0	362.5642	0	0	0	462	0	0	9.75	0	0	2.695	0	332.85	0	0	0	0	0	0	0	0	0	0	0	0	16.4475	0	36.8	21.6935	0	0	0	158.9295	0	0	0	0	24.455	115	0	0	0	0	0	34.375	0	0	0	0	0	0	49.9044	35.4	153.7	0	0	507.4	0	20.15	4.875	0	0	0	81.075	22.6317	.625	8.8	0	0	0	127.5	0	0	0	0	0	0	0	0	0	0	0	159.4	169.38	0	0	0	0	183.7312	8.775	0	0	0	0	0
11005	.504	47.25	0	0	5.1955	107.395	0	0	0	0	57.15	48.025	56.2	70.1879	0	0	0	0	0	213.375	3.9	504.9	0	3.2725	0	0	0	0	33.5212	0	0	0	0	0	0	0	0	0	14.2975	0	27.9	56	57.865	144.2725	0	0	0	0	0	40.825	0	136.606	0	0	0	0	0	0	66.75	0	103.5	0	0	0	0	21.07	51.8229	0	0	152.2	0	0	0	0	0	53.9	0	0	5.925	3.9425	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	9.45	265.95	0	0	0	0	0	2.295	0	0	0	0	0
11007	.952	0	0	0	0	182.655	0	0	0	0	13.975	58.625	0	41.65	0	0	0	197.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3625	0	22.555	41.3875	0	0	0	0	0	0	0	64.05	23.115	0	0	0	0	0	0	0	0	0	0	0	0	41.6731	0	0	0	0	0	0	7.0125	2.79	0	0	0	0	27.2	0	.35	8.78	0	0	0	0	1.97	0	0	0	0	0	0	0	0	0	0	0	105.21	0	0	0	0	0	1.95	0	0	0	0	0
11008	1.404	0	0	0	0	46.605	0	0	0	238.5	0	27.5	0	13.3	0	0	0	265.3	0	0	0	0	0	9.625	0	0	0	44	0	0	1.425	0	0	0	0	0	0	0	0	0	0	137.2625	0	0	0	155.2	0	0	0	0	0	149.5215	0	0	0	0	0	0	0	0	0	0	0	0	0	56.475	213	0	0	577.275	0	72	31.415	33	0	0	0	0	0	0	0	0	0	0	.11	0	0	0	41.81	0	0	0	0	0	0	103.95	0	0	0	0	0	350.3075	56.4678	0	0	0	0	0
11010	1.404	0	0	0	0	14.4	0	0	92.575	167.4372	21.6	30	0	262.9431	0	0	70.9496	0	457.875	0	0	0	0	11.05	0	115.625	0	44.4	16.25	0	0	0	0	0	2.2	0	0	0	0	0	66.925	46.0051	0	0	0	0	0	0	0	81.4442	0	55.3277	0	0	0	0	0	0	16.8	0	0	0	0	0	0	57.5	138.3635	0	0	147	49.0875	98.1	67.5	0	0	0	115.2	0	0	3.675	0	0	17.325	0	0	0	0	0	37	0	0	0	0	0	0	0	116.775	0	0	0	0	131.8617	0	0	0	0	0	0
11011	.978	0	0	0	0	4.2	0	0	220	68.796	0	29.1764	0	35.5872	0	0	84.8906	0	111	0	4.875	0	0	13	0	108.775	0	0	16.25	0	.5625	0	0	0	0	0	.0625	0	5.2675	0	44	88.2	0	0	0	0	0	32.3	0	0	0	0	0	185.375	0	0	0	0	0	0	0	23.275	0	0	26.3116	29.25	693.6682	0	0	75	0	41.25	0	100	0	0	0	0	0	2.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.205	0	0	0	0	181.5246	25.0237	0	0	0	0	0
11012	.978	0	0	79.415	0	82.68	0	0	67.1646	106.375	0	18	16.2	91.206	0	0	0	417.2	9	0	0	45	0	0	0	0	0	0	65.7014	0	.3	0	0	15.4	0	0	0	0	0	0	50.5	111.625	0	78.3675	30.2944	161.5	0	0	33.25	0	0	0	0	0	0	38.675	0	83.75	0	0	0	82.15	0	0	0	104.775	0	0	0	248.5	0	65.925	41.8	0	0	0	0	0	.275	.7	0	0	0	131.25	5.895	0	0	0	0	7.425	0	0	0	0	0	18.9	64.44	0	0	0	0	179.5853	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	544.0696	0	0	23	57.3	0	0	35.931	0	0	0	318.75	0	0	0	0	0	0	0	0	0	69.6228	0	0	0	0	0	25.3	0	0	0	0	0	246.925	0	0	164	0	0	0	66.5	0	0	109.495	0	0	0	0	0	.575	38.125	0	0	0	94.8	0	36.0402	0	53.65	153.7	0	0	632.1	0	0	0	0	0	45.05	0	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.1	0	0	0	0	111.9461	0	0	0	0	0	0
11014	1.22	0	0	0	0	64.035	67.275	0	0	134.784	0	27	40.5	148.61	0	0	0	0	206.25	0	0	0	0	12.8375	0	0	0	29.5	37.947	0	0	0	0	0	0	0	0	0	1.505	0	43.75	0	0	103.5225	0	0	0	30.72	0	20.16	12.5	84.8208	0	38.7244	0	0	0	54.375	0	0	0	0	18.3	0	0	0	303.7398	0	0	50.4	0	67.5	0	54	0	0	81.45	0	0	6.4575	0	0	50.05	0	0	0	0	0	0	0	0	0	0	0	0	0	410.55	0	0	0	0	0	0	0	0	0	0	0
11017	1.247	0	44.82	0	0	0	166.05	0	0	215.477	14.175	99.9	0	0	136.175	0	0	777.7	0	0	0	0	0	13.2825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9125	0	152.335	0	0	0	0	0	84	0	0	45.05	135.4725	0	0	50.7	0	0	0	23.625	30.6	0	0	0	0	0	40.5	129.15	0	0	198.1	0	0	0	145	0	55.4425	0	0	.225	10.5875	0	1.16	18.15	0	0	0	0	0	0	0	0	0	0	0	0	0	693	0	0	0	0	158.24	5.9539	0	0	0	0	0
11019	1.508	0	0	198.5202	0	45.2925	0	0	0	0	0	45.05	0	41.3632	0	0	0	175.7	0	0	0	0	0	7.8	0	0	0	0	18.3	0	1.0125	0	0	0	0	0	0	0	0	0	89.25	0	0	0	132	0	0	0	219.45	0	0	0	0	0	0	0	0	0	19.125	0	110.25	0	0	0	0	0	219.6108	0	0	78.4	23.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
