serial	prewt	an35s1	an35s2	an35s3	an35s4	an35s5	an35s6	an35s7	an35s8	an35s9	an35s10	an35s11	an35s12	an35s13	an35s14	an35s15	an35s16	an35s17	an35s18	an35s19	an35s20	an35s21	an35s22	an35s23	an35s24	an35s25	an35s26	an35s27	an35s28	an35s29	an35s30	an35s31	an35s32	an35s33	an35s34	an35s35	an35s36	an35s37	an35s38	an35s39	an35s40	an35s41	an35s42	an35s43	an35s44	an35s45	an35s46	an35s47	an35s48	an35s49	an35s50	an35s51	an35s52	an35s53	an35s54	an35s55	an35s56	an35s57	an35s58	an35s59	an35s60	an35s61	an35s62	an35s63	an35s64	an35s65	an35s66	an35s67	an35s68	an35s69	an35s70	an35s71	an35s72	an35s73	an35s74	an35s75	an35s76	an35s77	an35s78	an35s79	an35s80	an35s81	an35s82	an35s83	an35s84	an35s85	an35s86	an35s87	an35s88	an35s89	an35s90	an35s91	an35s92	an35s93	an35s94	an35s95	an35s96	an35s97	an35s98	an35s99	an35s100	an35s101	an35s102	an35s103	an35s104	an35s105	an35s106	an35s107
11002	.406	0	0	0	0	0	0	0	.0561	0	0	0	0	.0347	.276	0	0	1.6245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05	0	9	.1	0	0	2.55	0	0	0	11.49	0	2.025	4.8	2.035	0	0	0	0	0	.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11003	.504	0	0	0	0	0	0	0	0	0	0	0	0	.0949	0	0	0	3.3	0	0	.15	0	0	0	0	1.585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0826	0	0	0	2.5588	0	0	0	0	0	0	0	0	0	0	0	2.3375	0	0	0	0	0	0	7.2852	1.0325	3.48	0	0	17.7	0	.845	1.755	0	0	0	4.5525	0	0	2	0	0	0	28.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.225	0	0	0	0	0
11005	.504	0	0	0	.0182	0	0	0	0	0	0	0	.5925	0	0	0	0	0	0	0	0	1.4025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15	0	0	0	0	0	0	3.675	1.5831	0	0	3.39	0	0	0	0	0	2.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11007	.952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8226	0	0	0	0	0	0	.045	.36	0	0	0	0	13.09	0	0	1.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11008	1.404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.895	0	0	0	0	0	0	0	0	0	.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7825	3.9	0	0	20.1375	0	3.435	8.3265	.9075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3919	.3806	0	0	0	0	0
11010	1.404	0	0	0	0	0	0	0	0	.6972	0	0	0	.2581	0	0	2.8565	0	3.0525	0	0	0	0	0	0	.625	0	.2775	0	0	0	0	0	0	0	0	0	0	0	0	0	.1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.875	6.9162	0	0	3.15	.315	4.29	12.15	0	0	0	7.68	0	0	.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1134	0	0	0	0	0	0
11011	.978	0	0	0	0	0	0	0	0	0	0	0	0	.0744	0	0	1.7952	0	.74	0	.075	0	0	0	0	.5725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75	0	0	.273	2.925	19.4618	0	0	2.7	0	1.5	0	2.75	0	0	0	0	0	.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4661	.1069	0	0	0	0	0
11012	.978	0	0	2.3975	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98	.06	0	0	.125	0	0	0	0	0	0	.0305	0	0	0	0	0	0	0	0	0	0	0	0	.475	0	0	0	0	0	0	4.2	0	0	0	0	0	0	1.365	0	5.695	0	0	0	18.16	0	0	0	15.5175	0	0	0	5.325	0	5.685	14.44	0	0	0	0	0	0	.2	0	0	0	37.625	2.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4726	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.056	0	0	0	0	0	.0625	2.5925	0	0	0	19.68	0	2.45	0	0	3.48	0	0	22.05	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4757	0	0	0	0	0	0
11014	1.22	0	0	0	0	0	0	0	0	0	0	0	1.125	.5522	0	0	0	0	1.375	0	0	0	0	0	0	0	0	.1593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.3776	.25	0	0	.0429	0	0	0	3.6975	0	0	0	0	.305	0	0	0	9.2787	0	0	1.08	0	3.375	0	1.485	0	0	5.43	0	0	1.3125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11017	1.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89	1.87	0	0	0	0	0	2.025	2.665	0	0	4.245	0	0	0	3.9875	0	1.905	0	0	0	3.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11019	1.508	0	0	4.6246	0	0	0	0	0	0	0	.53	0	.5106	0	0	0	1.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.11	0	0	0	19.5025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7098	0	0	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
