serial	prewt	an44s1	an44s2	an44s3	an44s4	an44s5	an44s6	an44s7	an44s8	an44s9	an44s10	an44s11	an44s12	an44s13	an44s14	an44s15	an44s16	an44s17	an44s18	an44s19	an44s20	an44s21	an44s22	an44s23	an44s24	an44s25	an44s26	an44s27	an44s28	an44s29	an44s30	an44s31	an44s32	an44s33	an44s34	an44s35	an44s36	an44s37	an44s38	an44s39	an44s40	an44s41	an44s42	an44s43	an44s44	an44s45	an44s46	an44s47	an44s48	an44s49	an44s50	an44s51	an44s52	an44s53	an44s54	an44s55	an44s56	an44s57	an44s58	an44s59	an44s60	an44s61	an44s62	an44s63	an44s64	an44s65	an44s66	an44s67	an44s68	an44s69	an44s70	an44s71	an44s72	an44s73	an44s74	an44s75	an44s76	an44s77	an44s78	an44s79	an44s80	an44s81	an44s82	an44s83	an44s84	an44s85	an44s86	an44s87	an44s88	an44s89	an44s90	an44s91	an44s92	an44s93	an44s94	an44s95	an44s96	an44s97	an44s98	an44s99	an44s100	an44s101	an44s102	an44s103	an44s104	an44s105	an44s106	an44s107
11002	.406	0	0	0	0	.026	0	0	.0051	0	0	.0359	0	.0267	.009	0	0	.0604	0	0	.0098	0	0	.0333	0	0	0	0	0	0	.0656	0	0	0	0	0	.1	0	0	0	.0915	.0886	.0188	0	0	.1232	0	0	0	0	0	0	0	0	0	0	0	0	0	.0045	0	.0705	.0015	0	0	.0068	0	0	0	.0282	0	.0135	.002	.0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0329	0	0	0	0	0	0
11003	.504	0	0	0	0	.0135	.0547	0	0	.1369	.0026	.0675	0	.2627	0	0	0	.099	0	0	.054	0	0	.0126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.153	0	.0104	.0131	0	0	0	.2675	0	0	0	0	.0256	.1524	0	0	0	0	0	.0014	0	0	0	0	0	0	.117	.0044	.1421	0	0	.0236	0	.002	.0003	0	0	0	.008	.001	0	0	0	0	0	.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2011	0	0	0	0	0	0
11005	.504	.0032	0	0	.0023	.0363	0	0	0	0	.0079	.041	.0668	.1474	0	0	0	0	0	0	.003	.1122	0	.0153	0	0	0	0	.1043	0	0	0	0	0	0	0	0	0	.133	0	.0139	.008	.1207	.0599	0	0	0	0	0	.0249	0	.3251	0	0	0	0	0	0	.0257	0	.0621	0	0	0	0	.0098	.0513	0	0	.0064	0	0	0	0	0	0	0	0	0	0	0	0	.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0033	0	0	0	0	0
11007	.952	0	0	0	0	.0522	0	0	0	0	.0011	.0646	0	.0686	0	0	0	.0423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.115	0	.0319	.0086	0	0	0	0	0	0	0	.0823	.0242	0	0	0	0	0	0	0	0	0	0	0	0	.0081	0	0	0	0	0	0	.0024	.0003	0	0	0	0	.0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11008	1.404	0	0	0	0	.0218	0	0	0	.0225	0	.006	0	.0133	0	0	0	.0569	0	0	0	0	0	.045	0	0	0	.022	0	0	.0646	0	0	0	0	0	0	0	0	0	0	.0209	0	0	0	.3704	0	0	0	0	0	.1341	0	0	0	0	0	0	0	0	0	0	0	0	0	.114	.396	0	0	.0269	0	.0063	.0031	.0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0635	.0112	0	0	0	0	0
11010	1.404	0	0	0	0	.0084	0	0	.0359	.0168	.0054	.0066	0	.0593	0	0	.0197	0	0	0	0	0	0	.0264	0	0	0	.0222	.0038	0	0	0	0	0	.0194	0	0	0	0	0	.0522	.0277	0	0	0	0	0	0	0	.0412	0	.05	0	0	0	0	0	0	.0074	0	0	0	0	0	0	.0259	.2173	0	0	.0053	.0168	.0092	.0034	0	0	0	.0128	0	0	0	0	0	.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1646	0	0	0	0	0	0
11011	.978	0	0	0	0	.001	0	0	.099	.0294	0	.0442	0	.0048	0	0	.0387	0	0	0	.027	0	0	.031	0	0	0	0	.0038	0	.0255	0	0	0	0	0	.0313	0	.049	0	.0124	.0315	0	0	0	0	0	.0102	0	0	0	0	0	.0935	0	0	0	0	0	0	0	.0142	0	0	.0952	.0135	.6724	0	0	.009	0	.015	0	.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0549	.0218	0	0	0	0	0
11012	.978	0	0	.105	0	.0269	0	0	.0248	.023	0	.0083	.0297	.0844	0	0	0	.0894	0	0	0	.01	0	0	0	0	0	0	.1682	0	.0136	0	0	.014	0	0	0	0	0	0	.0425	.0285	0	.0709	.0806	.3144	0	0	.0175	0	0	0	0	0	0	.0046	0	.0034	0	0	0	.1162	0	0	0	.2042	0	0	0	.0089	0	.0062	.0038	0	0	0	0	0	0	0	0	0	0	.0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1024	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	.1114	0	0	.0023	.0873	0	0	.0042	0	0	0	0	0	0	0	0	0	0	0	0	0	.0939	0	0	0	0	0	.2231	0	0	0	0	0	.225	0	0	.052	0	0	0	.021	0	0	.4243	0	0	0	0	0	0	.0015	0	0	0	.1428	0	.0644	0	.0241	.1421	0	0	.0294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0814	0	0	0	0	0	0
11014	1.22	0	0	0	0	.0216	.0234	0	0	.0576	0	.0124	.0158	.0918	0	0	0	0	0	0	0	0	0	.0585	0	0	0	.0428	.1148	0	0	0	0	0	0	0	0	0	.014	0	.0388	0	0	.0936	0	0	0	.0132	0	.032	.0163	.2019	0	.0208	0	0	0	.0022	0	0	0	0	.0046	0	0	0	.3007	0	0	.0018	0	.0056	0	.0068	0	0	.0091	0	0	0	0	0	.0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11017	1.247	0	0	0	0	0	.0554	0	0	.0453	.0016	.0472	0	0	.0314	0	0	.1666	0	0	0	0	0	.0621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2228	0	.1353	0	0	0	0	0	.022	0	0	.1325	.1215	0	0	.2106	0	0	0	.011	.0272	0	0	0	0	0	.0182	.4428	0	0	.0071	0	0	0	.0181	0	0	0	0	0	0	0	0	.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.272	0	0	0	0	0	0
11019	1.508	0	0	.2269	0	.0137	0	0	0	0	0	.008	0	.0023	0	0	0	.0377	0	0	0	0	0	.0065	0	0	0	0	.0046	0	.0459	0	0	0	0	0	0	0	0	0	.079	0	0	0	.3575	0	0	0	.2511	0	0	0	0	0	0	0	0	0	.0051	0	.0662	0	0	0	0	0	.4293	0	0	.0028	.0787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11022	1.079	0	0	0	0	.0027	.0156	0	.0261	0	0	0	.0365	.0625	0	0	0	.0098	0	0	0	0	0	0	0	0	0	0	.0058	.0444	.0992	0	0	0	0	0	0	0	.047	0	0	.1196	0	0	0	0	0	0	.0131	.014	0	.5023	0	0	0	0	0	0	0	0	.0859	.0174	0	0	0	0	.3096	0	0	.0657	0	0	0	.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0107	.0032	0	0	0	0	0
11023	.254	0	0	0	0	.0641	0	0	0	0	.004	.036	0	0	0	0	0	.0867	0	0	0	0	0	.0075	0	0	0	0	.0086	0	.1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1268	.1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0378	0	0	0	0	0	.0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11024	.254	0	0	0	0	.0342	0	0	0	0	.0008	.0334	.1408	0	0	0	0	.0552	0	0	0	.0192	0	0	0	0	0	0	.0043	0	.0714	0	0	0	0	0	0	0	0	0	.0181	.03	0	0	0	0	0	0	0	.1118	0	0	0	0	0	0	0	0	.0141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11025	.291	0	0	0	0	.0087	0	0	0	.0311	0	.0155	0	0	.7317	0	0	.0387	0	0	0	0	0	0	0	.0413	0	0	.0228	0	0	0	0	0	.0121	0	0	0	0	0	.0581	.0198	.0655	0	0	.1708	0	0	0	0	0	0	0	0	0	0	0	0	.0075	0	0	0	.0032	0	0	.0165	0	0	0	.0047	0	.005	0	0	0	0	.0289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4013	.181	0	0	0	0	0
11029	.398	0	0	0	.0039	.2825	.0108	0	.0045	0	.0008	.0227	.0029	.1613	.0077	0	.0085	.0112	0	0	.0105	0	0	.0189	0	0	0	0	.0019	0	.0306	0	0	0	0	0	.2313	0	0	.077	.0361	.0138	0	0	0	0	0	0	.0375	0	.0649	0	0	0	0	0	0	.0013	0	0	0	.047	.0021	0	0	.083	.1268	0	0	0	0	0	0	0	0	0	0	0	0	.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0363	0	0	0	0	0	0
11032	.494	0	0	0	.0098	.0245	.012	0	.0135	0	0	.1673	0	0	0	0	0	.0067	0	0	0	0	0	0	0	0	0	0	.0019	0	.0204	0	0	0	0	0	.125	0	0	.0522	0	0	.0376	0	0	0	0	0	0	.1374	.0154	.1949	0	0	0	0	0	.0009	0	0	0	0	.0048	0	0	.1418	0	0	0	.0094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2625	.0154	0	0	0	0	0
11033	.494	0	0	0	.013	.0297	0	0	0	.016	0	0	.0234	.007	0	0	0	.0617	0	0	0	0	0	.0585	0	0	0	0	.0944	0	.1547	0	0	0	0	0	0	0	0	0	.0791	.0162	0	0	0	0	0	0	0	.0215	.0117	.0646	0	.0684	0	0	0	0	.0039	.002	0	0	.0026	0	0	0	.0323	0	0	.0044	0	.0029	0	.0484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11035	.494	0	0	0	0	.0344	0	0	0	.03	0	.0019	0	.0871	0	0	0	.0527	0	0	0	0	0	.0907	0	0	0	0	.0906	0	.0442	0	0	0	0	0	0	0	0	0	.0513	0	0	.0341	0	.014	0	0	0	.04	0	.1814	0	0	0	0	0	0	.0182	0	0	0	0	0	0	0	.1382	0	0	.0121	0	0	.0015	.0047	0	0	0	0	0	0	0	0	0	.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.14	0	0	0	0
11036	.481	0	0	0	.0644	.0109	0	0	0	0	0	0	.0308	.0786	0	0	0	.0262	0	0	0	0	0	0	0	0	0	0	.0042	0	0	0	0	0	0	0	.4063	0	0	0	.0164	0	0	.0294	0	.0337	0	0	.297	.1804	0	0	0	.0784	0	0	0	0	0	0	0	.0446	0	0	0	.0009	.2325	0	0	.0147	0	0	0	0	0	0	0	0	0	0	0	0	.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11039	.958	0	0	0	.048	.5967	0	0	0	0	0	.015	0	.0537	0	0	.232	.0391	0	0	0	0	0	.0173	0	0	0	0	.0052	0	.1292	0	0	0	0	0	0	0	0	0	.0648	0	0	0	0	0	0	0	.107	0	0	.8245	0	0	0	0	0	0	0	.0338	.0958	0	0	0	0	.3	.3245	0	0	0	0	.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.022	0	0	0	0	0	0
11041	.948	0	0	0	0	.0173	0	0	0	.0322	0	0	0	.0147	.0095	.039	0	.0242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.114	0	0	0	.0128	0	.088	0	0	0	0	0	.1591	0	0	0	0	0	0	0	0	.0091	0	0	.0036	.002	0	0	.2868	0	0	0	.0123	0	0	0	0	0	0	0	0	0	0	0	0	0	.0421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11042	1.221	0	0	0	0	.0153	0	0	0	0	0	0	0	.1338	0	0	0	.0807	0	0	.3589	0	0	0	0	0	0	.0518	.1276	0	0	0	0	0	0	0	0	.0479	0	.158	.0495	0	.1134	.0293	0	0	.1475	.0231	.0503	0	0	0	0	0	.3218	0	0	.0015	0	0	0	.0255	0	.0041	0	.1906	.1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.028	0	0	0	0	0
11045	1.221	0	0	0	0	.0259	0	0	0	0	.001	.038	0	.0433	.01	0	0	.0545	0	0	0	.0046	0	.0495	0	0	0	0	.111	0	.0085	0	0	0	.1067	0	0	0	0	.0243	0	.0407	0	0	0	0	0	.011	0	.063	0	0	0	0	0	0	0	.0014	.0146	0	0	.0114	0	.0943	0	.008	.124	0	0	.0057	0	0	0	.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.104	.027	0	0	0	0	0
11047	2.015	0	0	0	0	.0343	.0358	0	0	.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.043	0	.0039	.049	.0969	0	0	0	0	0	0	0	.0702	0	0	0	1.3156	0	0	0	0	.028	0	0	0	.0043	.0614	.1186	0	0	0	.0034	0	.0188	.0028	.0095	0	0	.0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0159	0	0	0	0	0
11049	1.477	0	0	0	.0085	0	.0279	0	0	.0234	0	.0212	0	.1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0224	0	.0459	0	0	0	0	0	0	0	0	0	.0304	0	.0319	0	0	0	.0752	0	.0417	.1759	.0468	0	0	0	.1624	0	0	0	.0081	0	0	0	.0097	0	0	.1331	.1372	0	0	.0066	0	.0347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0124	0	0	0	0	0
11050	1.057	0	0	0	0	.0368	0	0	0	0	0	.1892	0	0	0	0	0	.1336	0	0	0	0	0	.0513	0	0	0	0	.0092	0	0	0	0	0	0	0	.6938	0	0	0	.0396	0	0	0	0	0	0	0	0	.2713	0	0	0	0	0	0	0	0	.0514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.02	0	0	0	0	0	0
11051	1.057	0	0	.1536	.0049	0	.0556	0	0	.02	0	.0142	0	.0563	.0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0218	0	0	0	0	0	.1	0	.0124	0	0	.0245	0	.0537	0	0	0	0	0	0	0	0	0	0	0	0	.0409	0	0	.0509	.0077	0	0	.0874	0	0	0	.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11052	.278	0	0	0	0	.0105	.0263	0	0	.0236	0	.0166	0	.124	.008	0	0	.1079	0	0	.0297	0	0	.0437	0	0	0	.0116	.0083	0	.0816	.0017	0	0	0	0	0	0	0	0	.0274	.0082	0	0	0	.2635	0	0	0	0	0	0	0	0	0	0	0	0	.0054	0	0	.3466	.0057	0	0	.0169	.1581	0	0	.0084	0	.003	0	0	0	0	0	0	0	0	0	0	.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0714	.0331	0	0	0	0	0
11056	.534	0	0	0	0	0	.0505	0	0	.0105	.0015	.0286	0	0	.032	0	.0283	.1047	0	0	0	0	0	.0322	0	0	0	0	.0038	0	.085	0	0	0	0	0	0	0	0	0	.0419	.007	0	0	0	.0675	0	0	0	0	0	0	0	.1816	0	0	.0105	.0025	0	0	0	0	0	0	0	.0692	0	0	0	0	0	0	0	.01	0	0	0	0	0	0	0	0	.0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.006	.15	0	0	0	0	0	0
11062	.693	0	0	0	0	.0665	0	0	0	.066	0	.0021	0	0	0	0	0	.0339	0	0	0	0	0	.0873	0	0	0	0	.0035	0	0	0	0	0	0	0	0	0	0	.1701	0	.0546	0	0	0	0	0	0	0	.3481	0	0	0	.1479	0	0	0	0	0	0	.1003	0	0	0	0	0	0	0	0	0	0	.0029	.0049	.0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.166	0	0	0	0	0	0
11063	.693	0	0	0	0	.0973	0	0	0	0	.0028	0	0	0	0	0	0	.06	0	0	0	0	0	.054	0	0	0	0	.102	0	0	0	0	0	0	0	.9563	0	0	0	.1739	0	0	0	0	0	0	0	.0866	0	.0357	0	0	0	0	0	0	.0017	0	0	.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11064	.693	0	0	.0718	0	.0081	0	0	0	0	0	.012	0	0	0	0	0	.041	0	0	0	0	0	.0475	0	0	0	.028	0	0	0	0	0	0	0	0	0	0	.014	0	.0232	0	.3421	.0462	0	0	0	0	0	.0463	0	0	0	0	0	0	0	0	.0319	0	0	.0625	0	.0087	0	.1044	.1917	.0883	0	0	.02	0	0	0	0	0	0	0	0	0	0	0	.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0121	0	0	0	0	0
11067	1.325	0	0	0	0	.0286	0	0	0	0	0	.0203	.0479	.049	0	0	.0378	.0563	0	0	0	0	0	.0473	0	0	0	0	.0076	0	.1989	0	0	0	0	0	0	0	0	0	.0087	0	.0869	0	0	0	0	0	0	.113	0	0	0	0	0	0	0	0	.0058	0	0	.0544	0	0	0	.107	.1368	0	0	.006	0	0	0	0	0	0	0	0	0	0	0	0	.003	.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0162	.09	0	0	0	0
11069	.966	0	0	0	0	.0101	0	0	0	.0382	.0008	.1697	0	0	.0225	0	0	.0784	0	0	0	.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0832	0	0	0	0	0	0	0	.0225	0	0	0	.0765	0	0	0	0	.0469	0	0	.1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11070	1.501	0	0	0	0	.049	0	0	.0767	.0541	0	0	.0688	.105	.4006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4556	0	0	0	0	0	0	0	0	0	.072	.0718	0	0	0	0	0	0	0	0	.0483	.1276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.3712	0	0	0	0	.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.5582	0	0	0	0	0	0
11071	1.967	0	0	0	0	.0143	0	0	0	0	0	.0221	0	0	0	0	0	.0085	0	0	0	0	0	0	0	0	0	0	.0898	0	.0578	0	0	0	0	0	0	0	0	0	.0275	.0078	.1508	0	0	0	0	0	.1559	.032	0	0	.018	0	0	.002	0	0	0	0	.0644	.091	0	0	0	0	0	.03	0	.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0096	0	0	0	0	0
11075	1.273	0	0	0	0	0	.0506	0	0	0	.0028	.0052	0	.0648	.0047	0	0	0	0	0	0	0	0	.0132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.035	0	0	0	.0616	0	0	.0455	0	0	0	.1216	0	0	0	0	.0041	0	0	0	.0147	0	0	0	.003	0	0	.3059	0	0	0	.0268	0	0	.0091	0	0	0	0	0	0	0	0	0	.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11076	3.286	0	0	0	0	.0262	0	0	0	0	0	0	0	0	0	0	0	.0823	0	0	0	0	0	.0135	0	0	0	0	.0465	0	.1122	0	0	0	0	0	0	0	0	0	.0713	0	.072	0	0	0	0	0	.0998	0	0	0	0	0	0	0	0	0	0	0	.0486	.1116	0	0	0	0	.0124	0	0	.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0033	0	0	0	0	0
11077	1.273	0	0	0	.0064	.0471	0	0	0	0	0	.0044	.0484	0	.0072	0	.0283	.0788	0	0	0	0	0	0	0	0	0	.012	.024	0	.2414	0	0	0	0	0	0	0	0	0	0	.028	0	.0263	0	.07	0	0	.0528	.1087	.0575	0	0	0	0	0	0	0	0	0	0	.094	.003	.0098	0	.01	.147	0	0	.006	0	0	0	0	0	0	0	0	0	0	0	0	0	.0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11078	1.774	0	0	0	0	.0175	.0108	0	0	0	0	.0083	0	.0927	0	0	0	.0413	0	0	0	0	0	0	0	0	0	0	0	0	.1462	0	0	0	0	0	0	0	0	0	.0271	.018	.0175	0	0	0	0	0	.033	0	0	0	0	0	1.0583	0	0	0	0	0	0	.0375	0	0	0	0	.0712	0	0	.0135	.012	0	0	.0125	0	0	.01	0	0	0	0	.0165	.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11080	.272	0	0	0	0	0	.0422	0	0	0	0	0	.1249	0	.0064	.3617	0	.0848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.026	0	.1694	.0725	.351	0	0	0	0	0	0	.0882	.04	0	0	0	0	0	.0046	.0021	0	0	0	0	0	0	0	.0426	0	0	0	.0074	0	.0052	0	0	0	0	0	0	0	0	0	0	.0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0014	0	0	0	0	0
11084	.426	0	0	0	0	.0122	0	0	0	0	0	0	.0649	.0512	0	0	0	.027	0	0	0	0	0	0	0	0	0	0	.0045	0	0	0	0	0	0	0	0	0	.049	0	.0074	0	0	0	0	0	0	.0338	.1064	0	0	.0504	0	0	0	0	0	0	.0082	0	0	.4841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
