serial	prewt	an42s1	an42s2	an42s3	an42s4	an42s5	an42s6	an42s7	an42s8	an42s9	an42s10	an42s11	an42s12	an42s13	an42s14	an42s15	an42s16	an42s17	an42s18	an42s19	an42s20	an42s21	an42s22	an42s23	an42s24	an42s25	an42s26	an42s27	an42s28	an42s29	an42s30	an42s31	an42s32	an42s33	an42s34	an42s35	an42s36	an42s37	an42s38	an42s39	an42s40	an42s41	an42s42	an42s43	an42s44	an42s45	an42s46	an42s47	an42s48	an42s49	an42s50	an42s51	an42s52	an42s53	an42s54	an42s55	an42s56	an42s57	an42s58	an42s59	an42s60	an42s61	an42s62	an42s63	an42s64	an42s65	an42s66	an42s67	an42s68	an42s69	an42s70	an42s71	an42s72	an42s73	an42s74	an42s75	an42s76	an42s77	an42s78	an42s79	an42s80	an42s81	an42s82	an42s83	an42s84	an42s85	an42s86	an42s87	an42s88	an42s89	an42s90	an42s91	an42s92	an42s93	an42s94	an42s95	an42s96	an42s97	an42s98	an42s99	an42s100	an42s101	an42s102	an42s103	an42s104	an42s105	an42s106	an42s107
11002	.406	0	0	0	0	.3715	0	0	.5066	0	0	1.462	0	1.9802	.849	0	0	4.9336	0	0	.85	0	0	2.0072	0	0	0	0	0	0	2.8556	0	0	0	0	0	.9912	0	0	0	2.3698	4.2423	.5197	0	0	1.2788	0	0	0	0	0	0	0	0	0	0	0	0	0	.003	0	.0405	.0045	0	0	.0017	0	0	0	.0803	0	.0068	.004	.0204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0756	.0101	0	0	0	0	0
11003	.504	0	0	0	0	.2772	.4816	0	0	.322	.0289	3.504	0	7.6869	0	0	0	7.92	0	0	4.5	0	0	.7595	0	1.141	0	0	0	0	0	0	0	0	0	0	0	0	4.896	0	.1921	.6612	0	0	0	.8979	0	0	0	0	1.0348	.2587	0	0	0	0	0	.0083	0	0	0	0	0	0	1.4391	.0457	.5278	0	0	.118	0	.0039	.0007	0	0	0	.0139	.2421	0	0	0	0	0	.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1199	0	0	0	0	0	0
11005	.504	.2898	0	0	.1644	.4712	0	0	0	0	.053	2.5674	2.3895	2.5653	0	0	0	0	0	.1423	.231	8.2748	0	.9223	0	0	0	0	1.3353	0	0	0	0	0	0	0	0	0	4.256	0	.3596	.464	3.479	1.1877	0	0	0	0	0	1.736	0	.4628	0	0	0	0	0	0	.0629	0	.0345	0	0	0	0	.0025	.0594	0	0	.0083	0	0	0	0	0	0	0	0	0	0	0	0	1.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2801	0	0	0	0	0
11007	.952	0	0	0	0	.6884	0	0	0	0	.0264	3.1471	0	1.3279	0	0	0	3.384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6862	0	.6117	.2236	0	0	0	0	0	0	0	3.8384	.9781	0	0	0	0	0	0	0	0	0	0	0	0	.5801	0	0	0	0	0	0	.1052	.0006	0	0	0	0	.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11008	1.404	0	0	0	0	.3998	0	0	0	.675	0	.016	0	.4874	0	0	0	4.548	0	0	0	0	0	2.7125	0	0	0	1.76	0	0	5.13	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	3.3068	0	0	0	0	0	.5848	0	0	0	0	0	0	0	0	0	0	0	0	0	.0526	.363	0	0	.1343	0	.0126	.0061	.0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.349	1.7732	0	0	0	0	0
11010	1.404	0	0	0	0	.1728	0	0	.2347	1.0332	.144	.0174	0	8.5387	0	0	1.5021	0	3.0525	0	0	0	0	1.411	0	.1875	0	1.776	.3875	0	0	0	0	0	.2944	0	0	0	0	0	1.3671	1.4022	0	0	0	0	0	0	0	3.2711	0	.4568	0	0	0	0	0	0	.0126	0	0	0	0	0	0	.0057	.2585	0	0	.0105	.7366	.0184	.0068	0	0	0	.0192	0	0	0	0	0	.8573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6843	0	0	0	0	0	0
11011	.978	0	0	0	0	.0161	0	0	.528	.2646	0	1.9277	0	1.5264	0	0	2.6922	0	.74	0	2.25	0	0	1.66	0	.2863	0	0	.3875	0	2.025	0	0	0	0	0	.3098	0	1.568	0	.2296	1.3055	0	0	0	0	0	.9486	0	0	0	0	0	.0955	0	0	0	0	0	0	0	.0071	0	0	.2058	.0225	1.2953	0	0	.03	0	.0075	0	.0275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5281	1.9121	0	0	0	0	0
11012	.978	0	0	.987	0	.4192	0	0	.3131	.115	0	1.2255	.9194	1.8959	0	0	0	7.152	.06	0	0	.7375	0	0	0	0	0	0	1.8503	0	1.08	0	0	1.26	0	0	0	0	0	0	.9205	1.1353	0	1.1381	.4481	.8948	0	0	.9625	0	0	0	0	0	0	.0137	0	.0201	0	0	0	.0531	0	0	0	.0861	0	0	0	.0178	0	.0125	.0076	0	0	0	0	0	0	0	0	0	0	.0175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.9103	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	.8061	0	0	.0253	4.1197	0	0	.2247	0	0	0	2.125	0	0	0	0	0	0	0	0	0	1.7155	0	0	0	0	0	3.3856	0	0	0	0	0	5.483	0	0	1.008	0	0	0	1.953	0	0	2.4322	0	0	0	0	0	0	.0092	0	0	0	.078	0	.0798	0	.0222	.5278	0	0	.147	0	0	0	0	0	.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2897	0	0	0	0	0	0
11014	1.22	0	0	0	0	.3327	.2047	0	0	.5184	0	1.8383	.6728	4.0545	0	0	0	0	1.375	0	0	0	0	3.5263	0	0	0	1.593	.9803	0	0	0	0	0	0	0	0	0	.4918	0	1.0263	0	0	1.5034	0	0	0	.9324	0	2.232	.5125	.2874	0	.4511	0	0	0	.0131	0	0	0	0	.0137	0	0	0	.3482	0	0	.0036	0	.0112	0	.0149	0	0	.0136	0	0	0	0	0	2.3465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
