serial	prewt	an33s1	an33s2	an33s3	an33s4	an33s5	an33s6	an33s7	an33s8	an33s9	an33s10	an33s11	an33s12	an33s13	an33s14	an33s15	an33s16	an33s17	an33s18	an33s19	an33s20	an33s21	an33s22	an33s23	an33s24	an33s25	an33s26	an33s27	an33s28	an33s29	an33s30	an33s31	an33s32	an33s33	an33s34	an33s35	an33s36	an33s37	an33s38	an33s39	an33s40	an33s41	an33s42	an33s43	an33s44	an33s45	an33s46	an33s47	an33s48	an33s49	an33s50	an33s51	an33s52	an33s53	an33s54	an33s55	an33s56	an33s57	an33s58	an33s59	an33s60	an33s61	an33s62	an33s63	an33s64	an33s65	an33s66	an33s67	an33s68	an33s69	an33s70	an33s71	an33s72	an33s73	an33s74	an33s75	an33s76	an33s77	an33s78	an33s79	an33s80	an33s81	an33s82	an33s83	an33s84	an33s85	an33s86	an33s87	an33s88	an33s89	an33s90	an33s91	an33s92	an33s93	an33s94	an33s95	an33s96	an33s97	an33s98	an33s99	an33s100	an33s101	an33s102	an33s103	an33s104	an33s105	an33s106	an33s107
11002	.406	0	0	0	0	.0478	0	0	.0255	0	0	.0192	0	.0607	.051	0	0	.3035	0	0	.0072	0	0	.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0488	.1208	.021	0	0	.0646	0	0	0	0	0	0	0	0	0	0	0	0	0	.0135	0	.0135	0	0	0	.0017	0	0	0	.0222	0	.0101	.002	.0111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0105	.0279	0	0	0	0	.0329	.0011	0	0	0	0	0
11003	.504	0	0	0	0	.0077	.0614	0	0	.2817	.3413	.0416	0	.1193	0	0	0	.561	0	0	.024	0	0	.014	0	.3709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0196	.016	0	0	0	.0666	0	0	0	0	.0365	.023	0	0	0	0	0	.0014	0	0	0	0	0	0	.039	.0074	.0116	0	0	.0708	0	.0039	.0013	0	0	0	.0044	.0068	0	0	0	0	0	.017	0	0	0	0	0	0	0	0	0	0	0	.0021	.0941	0	0	0	0	.0602	.0004	0	0	0	0	0
11005	.504	.0126	0	0	.0052	.0591	0	0	0	0	.5244	.0293	.0081	.0318	0	0	0	0	0	.2418	.0051	.5891	0	.017	0	0	0	0	.1081	0	0	0	0	0	0	0	0	0	0	0	.0132	.0448	.0426	.097	0	0	0	0	0	.0249	0	.0344	0	0	0	0	0	0	.0309	0	.0207	0	0	0	0	.0025	.0009	0	0	.0154	0	0	0	0	0	.0049	0	0	0	.0024	0	0	.02	0	0	0	0	0	0	0	0	0	0	0	0	.0005	.1478	0	0	0	0	0	.0014	0	0	0	0	0
11007	.952	0	0	0	0	.092	0	0	0	0	.1495	.0389	0	.0172	0	0	0	.2397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0091	.0344	0	0	0	0	0	0	0	.0229	.0345	0	0	0	0	0	0	0	0	0	0	0	0	.0016	0	0	0	0	0	0	.0006	.0006	0	0	0	0	.0051	0	0	0	0	0	0	0	.0188	0	0	0	0	0	0	0	0	0	0	0	.0584	0	0	0	0	0	.0005	0	0	0	0	0
11008	1.404	0	0	0	0	.0189	0	0	0	.18	0	.0077	0	.0152	0	0	0	.3222	0	0	0	0	0	.05	0	0	0	.0688	0	0	.0019	0	0	0	0	0	0	0	0	0	0	.0903	0	0	0	.1301	0	0	0	0	0	.0447	0	0	0	0	0	0	0	0	0	0	0	0	0	.012	.006	0	0	.0805	0	.0126	.0061	.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0058	0	0	0	0	0	.0635	.0534	.1275	0	0	0	0
11010	1.404	0	0	0	0	.0048	0	0	.046	.1428	.234	.0084	0	.085	0	0	.0591	0	.5495	0	0	0	0	.0238	0	.1563	0	.0694	.0438	0	0	0	0	0	0	0	0	0	0	0	.0295	.0338	0	0	0	0	0	0	0	.0366	0	.0131	0	0	0	0	0	0	.0042	0	0	0	0	0	0	.0057	.0028	0	0	.0053	.0042	.0184	.0068	0	0	0	.0064	0	0	0	0	0	.0231	0	0	0	0	0	0	0	0	0	0	0	0	0	.0649	0	0	0	0	.0326	0	0	0	0	0	0
11011	.978	0	0	0	0	.0021	0	0	.099	0	0	.0124	0	.0168	0	0	.0779	0	.1332	0	.012	0	0	.028	0	.1202	0	0	.0438	0	.0008	0	0	0	0	0	0	0	0	0	.0234	.0525	0	0	0	0	0	.017	0	0	0	0	0	.0734	0	0	0	0	0	0	0	.0024	0	0	.0154	.0203	.0248	0	0	.006	0	.0075	0	.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0912	0	0	0	0	.059	.0321	0	0	0	0	0
11012	.978	0	0	.0595	0	.0386	0	0	.0248	.2012	0	.018	.0027	.0264	0	0	0	.5066	.0108	0	0	.0525	0	0	0	0	0	0	.1839	0	.0004	0	0	0	0	0	0	0	0	0	.0255	.0475	0	.0344	.0131	.0824	0	0	.0193	0	0	0	0	0	0	.0023	0	.0034	0	0	0	.0405	0	0	0	.0232	0	0	0	.0089	0	.0125	.0114	0	0	0	0	0	0	0	0	0	0	.0175	.0168	0	0	0	0	.0007	0	0	0	0	0	.001	.0358	0	0	0	0	.0309	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	.1501	0	0	.368	.0127	0	0	.0252	0	0	0	.3825	0	0	0	0	0	0	0	0	0	.1989	0	0	0	0	0	0	0	0	0	0	0	.1163	0	0	.064	0	0	0	.035	0	0	.1162	0	0	0	0	0	0	.0015	0	0	0	.0348	0	.0014	0	.0055	.0116	0	0	.0882	0	0	0	0	0	.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1045	0	0	0	0	.0278	0	0	0	0	0	0
11014	1.22	0	0	0	0	.0304	.0263	0	0	0	0	.027	.0045	.222	0	0	0	0	.2475	0	0	0	0	.0682	0	0	0	.0339	.1149	0	0	0	0	0	0	0	0	0	0	0	.0188	0	0	.0455	0	0	0	.0252	0	.008	.0225	.0214	0	.0182	0	0	0	.0022	0	0	0	0	0	0	0	0	.0053	0	0	.0018	0	.0112	0	.0081	0	0	.0045	0	0	0	0	0	.0637	0	0	0	0	0	0	0	0	0	0	0	0	0	.2346	0	0	0	0	0	0	0	0	0	0	0
11017	1.247	0	0	0	0	0	.0615	0	0	.1475	.2048	.0539	0	0	.1048	0	0	.9444	0	0	0	0	0	.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1654	0	0	0	0	0	.044	0	0	.0927	.0405	0	0	.0234	0	0	0	.0142	.0068	0	0	0	0	0	.004	.0144	0	0	.0071	0	0	0	.0218	0	.0073	0	0	0	0	0	0	.0242	0	0	0	0	0	0	0	0	0	0	0	0	0	.396	0	0	0	0	.0495	.0025	0	0	0	0	0
11019	1.508	0	0	.1409	0	.0229	0	0	0	0	0	.0133	0	.0092	0	0	0	.2134	0	0	0	0	0	.0117	0	0	0	0	.0473	0	.0014	0	0	0	0	0	0	0	0	0	.0382	0	0	0	.0495	0	0	0	.1357	0	0	0	0	0	0	0	0	0	.0051	0	.0221	0	0	0	0	0	.004	0	0	.0028	.0188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11022	1.079	0	0	0	0	.0045	.0176	0	.0492	0	0	0	.004	.1594	0	0	0	.0553	.1008	0	0	0	0	0	0	0	0	0	.0683	.05	.0023	0	0	0	0	0	0	0	0	0	0	.1748	0	0	0	0	0	0	.0096	.0035	0	.164	0	0	0	0	0	0	0	0	.0287	.0029	0	0	0	0	.0043	0	0	.026	0	0	0	.0168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.103	0	0	0	0	.0284	.0006	0	0	0	0	0
11023	.254	0	0	0	0	.0705	0	0	0	0	.5265	.0333	0	0	0	0	0	.4913	0	0	0	0	0	.0135	0	0	0	0	.0883	0	.0043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.039	.0591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0047	0	0	0	0	0	.0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4301	0	0	0	0	.0666	0	0	0	0	0	0	0	0	0	0	0
11024	.254	0	0	0	0	.0299	0	0	0	0	.273	.0311	.0128	0	0	0	0	.3128	0	0	0	.1008	0	0	0	0	0	0	.0499	0	.0021	0	0	0	0	0	0	0	0	0	.0116	.04	0	0	0	0	0	0	0	.0723	0	0	0	0	0	0	0	0	.0141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0484	0	0	0	0	0	0	0	0	0	0	0	0	0	.1417	0	0	0	0	0	0	0	0	0	0	0
11025	.291	0	0	0	0	.016	0	0	0	.169	0	.015	0	0	.3148	0	0	.2193	0	0	0	0	0	0	0	.073	0	0	.0805	0	0	0	0	0	0	0	0	0	0	0	.0281	.0252	.0231	0	0	.056	0	0	0	0	0	0	0	0	0	0	0	0	.0097	0	0	0	0	0	0	.0108	0	0	0	.0047	0	.01	0	0	0	0	.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0031	.0038	0	0	0	0	.0604	.0104	0	0	0	0	0
11029	.398	0	0	0	0	.0419	.0121	0	.0081	0	.2093	.0221	.0029	.0663	.0434	0	.0085	.0638	.1949	0	.0064	0	0	.0221	0	0	0	0	.0194	0	.0009	0	0	0	0	0	0	0	0	0	.0162	.023	0	0	0	0	0	0	.0275	0	.06	0	0	0	0	0	0	.0013	0	0	0	.009	0	0	0	.0072	.0022	0	0	0	0	0	0	0	0	0	0	0	0	.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0063	.0797	0	0	0	0	.0363	0	0	0	0	0	0
11032	.494	0	0	0	.0332	.014	.0135	0	.0243	0	0	.1794	0	0	0	0	0	.0383	.1854	0	0	0	0	0	0	0	0	0	.0219	0	.0006	0	0	0	0	0	0	0	0	0	0	0	.0681	0	0	0	0	0	0	.0667	.022	.0113	0	0	0	0	0	.0009	0	0	0	0	0	0	0	.0132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2368	0	0	0	.0037	.0306	0	0	0	0	.0526	.0022	0	0	0	0	0
