wave	rownum	serial	area	screen42	attden	attgen	attlst1	attlst2	attlst3	attscn	attapp	attdis	atttpt	attjny	attpay	attrx1	attrx2	attrx3	timfin
4	5	81074Z	29	1	 	1	1	1	06	1	2	2	1	1	1	2	 	 	1350
4	5	81075A	29	2	1	4	8	1	09	2	 	 	 	 	 	2	 	 	1435
4	5	81076B	29	1	 	1	2	2	 	1	2	3	1	1	3	1	05	2	1440
4	5	81077C	29	2	3	3	5	1	07	1	2	4	3	1	1	2	 	 	1340
4	5	81078D	29	2	3	4	0	 	 	2	 	 	 	 	 	2	 	 	1435
4	5	81079E	36	1	 	1	1	1	06	1	2	4	6	1	1	2	 	 	1106
4	5	81080F	36	2	1	4	3	1	0609	1	2	2	4	1	3	2	 	 	1547
4	5	81081G	36	1	 	1	2	2	 	1	2	4	3	1	3	2	 	 	1232
4	5	81083J	36	1	 	4	5	2	 	1	2	4	3	1	3	2	 	 	1155
4	5	81084K	36	2	1	3	4	1	0907	1	2	5	2	2	3	1	09	2	1710
4	5	81085L	36	2	3	4	6	1	09	2	 	 	 	 	 	2	 	 	1427
4	5	81086M	36	1	 	1	1	2	 	1	2	4	2	1	3	2	 	 	1459
4	5	81087N	36	1	 	1	1	1	04	1	2	5	2	2	3	2	 	 	1652
4	5	81088P	36	1	 	1	1	2	 	1	2	6	2	1	3	2	 	 	1028
4	5	81089Q	36	2	3	4	8	1	0206	2	 	 	 	 	 	2	 	 	1548
4	5	81090R	36	1	 	1	2	2	 	1	2	8	2	2	3	2	 	 	1145
4	5	81091S	37	2	3	2	1	2	 	1	2	2	1	1	3	2	 	 	1155
4	5	81092T	37	2	3	3	4	1	07	1	2	1	1	1	3	3	 	 	1032
4	5	81093V	37	1	3	3	3	1	0609	1	2	1	1	1	1	2	 	 	1445
4	5	81094W	37	1	 	1	1	1	04	1	2	2	2	1	3	2	 	 	1117
4	5	81095X	37	1	 	3	6	1	03	2	 	 	 	 	 	2	 	 	1550
4	5	81096Y	37	1	 	3	6	1	0309	2	 	 	 	 	 	1	09	2	1230
4	5	81097Z	37	1	 	2	1	1	09	1	2	5	3	2	3	2	 	 	1130
4	5	81098A	37	1	 	1	1	1	06	1	2	2	2	1	3	2	 	 	1450
4	5	81100C	44	1	 	1	1	2	 	1	2	4	4	1	3	1	04	1	1855
4	5	81101D	44	1	 	1	1	1	0204	1	2	5	2	1	3	2	 	 	1755
4	5	81102E	44	1	 	3	4	2	 	1	2	3	4	4	3	1	11	2	1120
4	5	81103F	44	2	1	2	5	2	 	1	2	3	4	2	1	1	09	1	1415
4	5	81104G	44	1	 	3	3	1	09	1	2	3	3	1	3	3	 	 	1115
4	5	81105H	44	2	3	4	6	1	09	2	 	 	 	 	 	2	 	 	1505
4	5	81106J	44	1	 	4	8	1	09	2	 	 	 	 	 	1	09	2	1700
4	5	81107K	44	1	 	1	1	2	 	1	2	3	2	1	3	2	 	 	1530
4	5	81108L	44	1	 	2	1	1	04	1	2	6	2	2	3	2	 	 	1150
4	5	81109M	44	1	 	3	4	2	 	1	2	5	2	2	3	1	01	2	1205
4	5	81110N	44	1	 	1	1	1	050609	1	2	4	3	2	3	2	 	 	1035
4	5	81111P	44	1	 	1	1	2	 	1	2	4	2	1	1	2	 	 	1115
4	5	81112Q	44	2	2	3	1	2	 	1	2	1	1	1	1	2	 	 	1030
4	5	81113R	45	1	 	3	7	1	06	2	 	 	 	 	 	1	0406	2	1635
4	5	81114S	45	1	 	3	3	2	 	1	2	1	1	1	3	2	 	 	947
4	5	81115T	45	2	1	4	8	1	09	2	 	 	 	 	 	2	 	 	1058
4	5	81116V	45	2	1	4	8	1	09	2	 	 	 	 	 	2	 	 	1336
4	5	81118X	45	1	 	3	1	1	03	1	2	6	3	3	3	3	 	 	1130
4	5	81119Y	45	1	 	4	8	1	0306	2	 	 	 	 	 	2	 	 	1440
4	5	81120Z	45	1	 	1	1	1	09	1	2	9	2	2	3	2	 	 	1755
4	5	81121A	45	2	3	4	8	1	09	2	 	 	 	 	 	2	 	 	1205
4	5	81122B	45	2	3	4	8	1	0206	2	 	 	 	 	 	1	09	2	1003
4	5	81123C	45	1	 	3	4	2	 	1	2	3	1	3	1	2	 	 	1206
4	5	81124D	45	1	 	3	3	1	0409	1	2	2	3	1	3	2	 	 	1122
4	5	81125E	45	2	3	3	8	1	09	2	 	 	 	 	 	1	09	2	1025
4	5	81126F	45	2	3	4	5	2	 	1	2	2	2	1	3	2	 	 	1319
4	5	81127G	45	1	 	2	3	1	07	1	2	2	7	1	1	2	 	 	1015
4	5	81128H	45	2	3	4	3	1	09	1	2	6	2	1	3	2	 	 	1620
4	5	81129J	45	2	2	4	8	1	09	2	 	 	 	 	 	2	 	 	1522
4	5	81130K	45	1	 	1	1	2	 	1	2	6	2	1	3	1	04	1	1300
4	5	81131L	52	1	 	1	1	2	 	1	2	7	5	2	3	2	 	 	1305
4	5	81133N	52	1	 	3	4	1	05	1	2	3	2	1	3	1	04	2	1445
4	5	81134P	52	1	 	1	2	2	 	1	2	3	2	1	3	1	04	1	1550
4	5	81135Q	52	1	 	1	1	1	04	1	2	2	2	1	3	2	 	 	1255
4	5	81137S	52	1	 	2	3	2	 	1	2	1	1	1	3	2	 	 	1040
4	5	81138T	52	1	 	4	3	2	 	1	2	1	8	2	3	2	 	 	1505
4	5	81139V	52	2	3	4	5	1	09	1	2	1	1	1	3	2	 	 	1125
4	5	81141X	53	2	3	4	8	1	0609	2	 	 	 	 	 	2	 	 	1043
4	5	81142Y	53	1	 	4	7	1	08	2	 	 	 	 	 	2	 	 	1722
4	5	81143Z	53	1	 	3	3	1	04	1	2	2	3	1	1	3	 	 	1515
4	5	81144A	53	2	3	4	8	2	 	2	 	 	 	 	 	2	 	 	1445
4	5	81145B	53	1	 	1	1	2	 	1	2	2	2	1	3	2	 	 	1220
4	5	81146C	53	1	 	2	2	1	0504	1	2	3	2	1	3	2	 	 	1255
4	5	81148E	53	1	 	1	1	2	 	1	1	6	2	2	3	2	 	 	1620
4	5	81149F	53	1	 	1	2	2	 	1	2	2	2	1	3	1	06	2	1145
4	5	81150G	53	2	3	3	4	2	 	1	2	7	3	2	1	2	 	 	1050
4	5	81151H	53	2	3	4	8	1	09	2	 	 	 	 	 	2	 	 	1347
4	5	81152J	60	2	2	4	8	1	07	2	 	 	 	 	 	1	09	2	1330
4	5	81153K	60	1	 	3	2	1	06	1	2	1	1	1	3	2	 	 	1245
4	5	81155M	60	1	 	3	3	2	 	1	2	3	4	1	1	1	060905	2	1350
4	5	81156N	60	1	 	1	2	2	 	1	2	1	1	1	3	2	 	 	1225
4	5	81158Q	60	2	2	4	8	1	07	2	 	 	 	 	 	1	09	2	1555
4	5	81160S	60	2	3	2	6	2	 	2	 	 	 	 	 	2	 	 	1425
4	5	81161T	60	1	 	1	1	2	 	1	2	4	3	1	3	2	 	 	1455
4	5	81162V	61	1	 	1	1	2	 	1	2	1	1	1	3	2	 	 	1400
4	5	81163W	61	1	 	1	1	1	11	1	2	5	2	2	3	2	 	 	1730
4	5	81165Y	61	1	 	3	8	1	030609	2	 	 	 	 	 	1	06	2	1510
4	5	81166Z	61	2	1	4	8	1	0609	2	 	 	 	 	 	2	 	 	1245
4	5	81167A	61	1	 	3	5	1	030609	1	2	5	2	1	3	3	 	 	1520
4	5	81168B	61	2	3	4	6	1	09	2	 	 	 	 	 	2	 	 	1305
4	5	81170D	61	1	 	1	1	2	 	1	2	6	2	1	3	2	 	 	1630
4	5	81171E	61	2	2	4	8	1	030609	2	 	 	 	 	 	1	09	2	1615
4	5	81172F	68	2	4	4	8	1	09	2	 	 	 	 	 	2	 	 	1140
4	5	81173G	68	2	3	3	2	2	 	1	2	5	4	1	3	2	 	 	1500
4	5	81174H	68	2	3	4	8	1	0609	2	 	 	 	 	 	1	09	2	1210
4	5	81175J	68	2	3	3	1	1	07	1	2	4	4	2	3	2	 	 	1130
4	5	81176K	68	1	 	3	7	1	060809	2	 	 	 	 	 	1	0609	2	1115
4	5	81177L	68	1	 	1	2	2	 	1	2	6	5	1	3	1	04	2	1035
4	5	81178M	68	1	 	2	3	2	 	1	2	3	2	1	2	1	04	2	1020
4	5	81179N	68	1	 	3	3	2	 	1	2	1	4	1	1	1	04	2	1350
4	5	81180P	69	1	 	1	2	1	02	1	2	9	5	1	3	2	 	 	1140
4	5	81181Q	69	1	 	3	7	1	030609	2	 	 	 	 	 	1	06	2	940
4	5	81183S	69	1	 	1	2	2	 	1	2	4	2	1	3	2	 	 	1037
4	5	81184T	69	1	 	4	6	2	 	2	 	 	 	 	 	1	04	2	1245
4	5	81186W	69	1	 	1	1	2	 	1	2	4	2	1	3	2	 	 	1130
4	5	81187X	69	1	 	3	4	1	04	1	2	4	4	1	3	1	06	2	1247
4	5	81188Y	69	2	1	3	6	1	07	2	 	 	 	 	 	2	 	 	1035
4	5	81189Z	69	1	 	1	2	2	 	1	2	5	3	1	3	2	 	 	1355
4	5	81190A	76	1	 	1	1	1	04	1	2	3	2	1	3	2	 	 	1635
4	5	81191B	76	1	 	4	8	1	08	2	 	 	 	 	 	1	0609	2	1430
4	5	81192C	76	1	 	1	1	2	 	1	2	4	6	2	3	1	09	2	1225
4	5	81193D	76	1	 	1	1	2	 	1	2	3	2	1	3	1	0405	2	1032
4	5	81194E	76	1	 	2	2	1	05	1	2	4	4	1	3	3	 	 	1725
4	5	81195F	76	2	3	3	3	1	08	1	1	3	3	1	1	2	 	 	1225
4	5	81196G	76	2	1	1	1	2	 	1	2	3	4	1	3	2	 	 	1020
4	5	81197H	76	1	 	3	1	1	0504	1	2	2	1	1	3	2	 	 	1520
4	5	81198J	76	1	 	1	1	2	 	1	2	3	2	1	3	1	01	1	1030
4	5	81200L	76	1	 	1	1	2	 	1	2	4	2	1	3	1	0103	1	1230
4	5	81201M	76	1	 	3	3	1	0506	1	2	3	4	1	3	1	0409	2	1100
4	5	81202N	76	1	 	1	1	2	 	1	2	1	1	1	3	3	 	 	1115
4	5	81203P	77	2	3	4	8	1	09	2	 	 	 	 	 	1	09	2	1120
4	5	81204Q	77	2	3	4	7	1	09	2	 	 	 	 	 	2	 	 	1458
4	5	81205R	77	1	 	1	1	2	 	1	2	5	2	1	3	2	 	 	1135
4	5	81206S	77	1	 	3	7	1	0609	2	 	 	 	 	 	2	 	2	1045
4	5	81207T	77	2	3	3	6	1	0609	2	 	 	 	 	 	1	07	2	1402
4	5	81208V	77	2	3	3	6	1	09	2	 	 	 	 	 	2	 	 	1330
4	5	81209W	77	1	 	1	1	1	04	1	2	5	2	1	3	2	 	 	1535
4	5	81210X	77	1	 	1	1	2	 	1	2	3	8	1	3	2	 	 	1050
4	5	81211Y	77	2	3	3	6	1	09	2	 	 	 	 	 	1	09	2	1205
4	5	81212Z	77	1	 	1	1	1	02	1	2	3	3	1	3	2	 	 	1215
4	5	81213A	77	1	 	3	4	2	 	1	2	3	4	1	1	2	 	 	1355
4	5	81214B	77	1	 	2	1	1	08	1	2	3	3	1	3	2	 	 	1455
4	5	81276T	37	2	3	4	8	1	0609	2	 	 	 	 	 	2	 	 	1310
4	5	81277V	36	1	 	1	1	1	0405	1	2	6	2	2	3	2	 	 	1549
4	5	81278W	52	1	 	3	1	1	04	1	2	7	2	1	3	2	 	 	1655
4	5	81280Y	77	2	3	4	8	1	09	2	 	 	 	 	 	1	09	2	1045
4	5	81281Z	36	2	3	3	8	1	020306	2	 	 	 	 	 	2	 	 	1245
4	5	81283B	20	1	 	4	8	1	02	2	 	 	 	 	 	1	0104	2	1730
4	5	81284C	21	2	3	3	6	1	07	2	 	 	 	 	 	2	 	 	1439
4	5	81286E	12	1	 	4	7	1	07	2	 	 	 	 	 	1	010406	2	1110
4	5	81287F	44	2	3	3	1	1	08	1	2	5	4	1	1	2	 	 	1215
4	5	81288G	20	2	3	3	1	1	07	1	2	5	4	3	3	1	07	1	1201
4	5	81292L	4	2	2	4	7	1	09	2	 	 	 	 	 	3	 	 	1450
4	5	81293M	28	2	3	4	7	2	 	2	 	 	 	 	 	2	 	 	1640
4	5	82215P	4	2	3	4	4	2	 	1	2	0	 	 	1	2	 	 	1125
4	5	82216Q	4	2	3	3	5	1	08	1	2	0	 	 	1	2	 	 	1150
4	5	82218S	4	2	1	1	1	2	 	1	3	0	 	 	1	2	 	 	1550
4	5	82219T	5	2	3	3	1	1	09	1	2	0	 	 	1	1	09	1	1142
4	5	82220V	12	2	3	4	8	1	98	2	 	 	 	 	 	2	 	 	1235
4	5	82221W	12	2	3	3	7	2	09	2	 	 	 	 	 	2	 	 	1215
4	5	82222X	12	2	1	4	8	2	 	2	 	 	 	 	 	2	 	 	1050
4	5	82223Y	12	1	 	2	3	1	03	1	2	0	 	 	3	1	03	2	1545
4	5	82226B	20	2	3	3	1	1	06	1	2	0	 	 	1	2	 	 	1438
4	5	82227C	20	1	 	1	1	2	01	1	2	0	 	 	1	2	 	 	1509
4	5	82228D	21	2	0	0	2	2	 	1	3	0	 	 	1	2	 	 	955
4	5	82229E	21	2	3	4	2	2	 	1	3	0	 	 	1	2	 	 	928
4	5	82230F	28	2	4	0	6	1	09	2	 	 	 	 	 	2	 	 	1345
4	5	82231G	29	2	8	3	2	1	09	1	2	0	 	 	1	2	 	 	1400
4	5	82232H	29	2	4	3	0	 	 	2	 	 	 	 	 	2	 	 	1345
4	5	82233J	37	2	3	3	1	2	 	1	3	0	 	 	1	2	 	 	1210
4	5	82234K	37	2	3	2	3	2	 	1	3	0	 	 	1	2	 	 	1245
4	5	82235L	37	2	8	1	1	2	 	1	3	0	 	 	1	2	 	 	1050
4	5	82236M	37	2	0	0	1	2	 	1	3	0	 	 	1	2	 	 	1125
4	5	82237N	45	2	4	4	8	1	06	2	 	 	 	 	 	2	 	 	1447
4	5	82238P	45	2	3	3	8	1	06	2	 	 	 	 	 	2	 	 	1527
4	5	82239Q	45	1	 	3	8	1	0609	2	 	 	 	 	 	2	 	 	1420
4	5	82240R	45	2	3	4	8	1	06	2	 	 	 	 	 	2	 	 	1440
4	5	82241S	52	1	 	4	0	 	 	2	 	 	 	 	 	3	 	 	1145
4	5	82242T	52	1	 	1	1	1	05	1	2	1	1	1	3	1	0507	 	1040
4	5	82243V	60	2	2	2	1	2	 	1	2	0	 	 	1	2	 	 	1025
4	5	82244W	60	2	2	2	0	 	 	2	 	 	 	 	 	2	 	 	1100
4	5	82245X	60	2	2	2	0	 	 	2	 	 	 	 	 	2	 	 	1025
4	5	82246Y	60	1	 	2	0	 	 	2	 	 	 	 	 	2	 	 	1120
4	5	82247Z	61	1	 	3	4	1	0306	1	2	1	1	1	3	1	06	2	1110
4	5	82248A	61	2	8	3	5	1	07	1	2	0	 	 	4	3	 	 	1130
4	5	82249B	61	2	1	4	5	1	08	1	2	2	4	1	3	2	 	 	1136
4	5	82250C	61	2	1	4	0	 	 	2	 	 	 	 	 	2	 	 	1045
4	5	82251D	69	2	0	4	0	 	 	2	 	 	 	 	 	1	09	2	1530
4	5	82252E	69	1	 	2	1	2	 	1	2	0	 	 	0	1	01	2	1455
4	5	82253F	76	2	3	4	0	 	 	2	 	 	 	 	 	2	 	 	1110
4	5	82254G	77	2	3	4	8	1	0609	2	 	 	 	 	 	2	 	 	1535
4	5	82255H	77	2	3	4	8	1	0609	2	 	 	 	 	 	1	09	2	1250
4	5	82256J	77	2	4	4	9	 	 	2	 	 	 	 	 	2	 	 	1520
4	5	82257K	77	1	 	4	9	 	 	2	 	 	 	 	 	3	 	 	1450
4	5	82258L	77	2	3	4	8	1	09	2	 	 	 	 	 	1	09	2	1340
4	5	82259M	77	2	1	4	0	 	 	2	 	 	 	 	 	2	 	 	1430
4	5	82260N	77	1	 	3	3	1	09	1	2	3	6	1	3	1	09	2	1510
4	5	82261P	13	1	 	4	6	2	 	2	 	 	 	 	 	2	 	 	1155
4	5	82263R	21	1	 	3	2	1	06	1	1	7	3	2	1	1	0306	2	1055
4	5	82265T	21	1	 	3	0	 	 	2	 	 	 	 	 	1	06	2	1145
4	5	82266V	36	2	3	3	4	1	09	1	2	5	3	1	0	2	 	 	1111
4	5	82267W	36	2	3	3	0	 	 	2	 	 	 	 	 	2	 	 	1039
4	5	82268X	77	1	 	3	0	 	 	2	 	 	 	 	 	2	 	 	1155
4	5	82269Y	13	2	8	1	1	2	 	1	2	0	 	 	1	3	 	 	1230
4	5	82270Z	13	2	3	2	3	1	0207	1	2	0	 	 	1	2	 	 	1209
4	5	82271A	13	2	8	1	1	2	 	1	2	0	 	 	1	3	 	 	1222
4	5	82272B	21	2	3	4	8	1	0609	2	 	 	 	 	 	2	 	 	1410
4	5	82273C	21	2	3	4	8	1	09	2	 	 	 	 	 	2	 	 	1348
4	5	82274D	44	1	 	2	5	2	 	1	2	0	 	 	3	3	 	 	1330
4	5	82275E	77	2	4	0	0	 	 	2	 	 	 	 	 	2	 	 	1115
4	5	82290W	68	2	4	4	0	 	 	2	 	 	 	 	 	2	 	 	1505
4	5	82291X	68	2	4	4	8	1	09	2	 	 	 	 	 	3	 	 	1525
