serial	prewt	an61s1	an61s2	an61s3	an61s4	an61s5	an61s6	an61s7	an61s8	an61s9	an61s10	an61s11	an61s12	an61s13	an61s14	an61s15	an61s16	an61s17	an61s18	an61s19	an61s20	an61s21	an61s22	an61s23	an61s24	an61s25	an61s26	an61s27	an61s28	an61s29	an61s30	an61s31	an61s32	an61s33	an61s34	an61s35	an61s36	an61s37	an61s38	an61s39	an61s40	an61s41	an61s42	an61s43	an61s44	an61s45	an61s46	an61s47	an61s48	an61s49	an61s50	an61s51	an61s52	an61s53	an61s54	an61s55	an61s56	an61s57	an61s58	an61s59	an61s60	an61s61	an61s62	an61s63	an61s64	an61s65	an61s66	an61s67	an61s68	an61s69	an61s70	an61s71	an61s72	an61s73	an61s74	an61s75	an61s76	an61s77	an61s78	an61s79	an61s80	an61s81	an61s82	an61s83	an61s84	an61s85	an61s86	an61s87	an61s88	an61s89	an61s90	an61s91	an61s92	an61s93	an61s94	an61s95	an61s96	an61s97	an61s98	an61s99	an61s100	an61s101	an61s102	an61s103	an61s104	an61s105	an61s106	an61s107
11002	.406	0	0	0	0	0	0	0	0	0	0	1.9375	0	14.0288	1.764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.7875	.8513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6825	.0023	0	0	0	0	0
11003	.504	0	0	0	0	0	0	0	0	6.6412	1.1813	5.229	0	33.0662	0	0	0	0	0	0	0	0	0	0	0	14.5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.069	0	0	0	0	0	0	0	0	0	0	.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.125	13.62	0	0	0	7.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7468	1.0688	0	0	0	0	0
11005	.504	.4725	0	0	0	0	0	0	0	0	8.2897	6.509	7.677	11.9699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.753	0	0	124.425	3.5863	0	0	5.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0032	0	0	0	0	0
11007	.952	0	0	0	0	0	0	0	0	0	.8293	5.3475	0	5.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.312	0	0	0	0	0	0	7.35	12.1805	0	0	0	0	7.4005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0765	0	0	0	0	0
11008	1.404	0	0	0	0	0	0	0	0	3.105	0	0	0	3.2015	0	0	0	0	0	0	0	0	0	0	0	0	0	5.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.199	0	0	0	1.4125	0	0	0	0	0	0	0	0	0	0	0	0	.0635	0	0	0	0	0	0
11010	1.404	0	0	0	0	0	0	0	0	0	6.066	0	0	20.4522	0	0	6.3483	0	0	0	0	0	0	0	0	3.6562	0	5.1615	0	0	0	0	0	0	0	0	0	0	0	0	.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7495	0	0	2.1787	0	0	0	0	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	4.399	0	0	0	0	0	0
11011	.978	0	0	0	0	0	0	0	0	0	0	3.621	0	.7584	0	0	3.7036	0	0	0	0	0	0	0	0	6.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0825	0	0	0	0	0	0	.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7856	.0023	0	0	0	0	0
11012	.978	0	0	.231	0	0	0	0	0	.69	0	2.7675	3.807	11.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.03	0	0	0	0	0	0	0	.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38	0	0	0	0	0	0	5.775	1.362	0	0	0	7.7875	11.078	0	0	0	0	.4658	0	0	0	0	0	0	0	0	0	0	0	.5087	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	0	0	0	1.035	9.069	0	0	1.0185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7888	0	0	0	8.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7201	0	0	0	0	0	0
11014	1.22	0	0	0	0	0	0	0	0	0	0	4.1513	2.88	11.4904	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0352	.2375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.596	0	0	6.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11017	1.247	0	0	0	0	0	0	0	0	2.1977	.7088	18.029	0	0	8.5895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1425	0	0	0	0	0	.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5805	0	0	4.725	20.6003	0	11.8755	2.2825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.005	0	0	0	0	0
11019	1.508	0	0	.4695	0	0	0	0	0	0	0	14.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.5485	0	0	0	0	0	0	0	0	0	0	0	1.911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11022	1.079	0	0	0	0	0	0	0	0	0	0	0	2.2275	12.3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.035	.0154	0	0	0	0	0	0	0	0	0	0	2.483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0178	.184	0	0	0	0	0
11023	.254	0	0	0	0	0	0	0	0	0	1.8225	4.7965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.4125	5.2313	0	0	0	0	11.3715	0	0	0	0	0	0	27.2463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11024	.254	0	0	0	0	0	0	0	0	0	5.469	7.9465	18.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.6375	0	0	4.565	0	4.1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11025	.291	0	0	0	0	0	0	0	0	1.911	0	8.7815	0	0	10.1967	0	0	0	0	0	0	0	0	0	0	2.0638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1088	0	23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6387	.8538	0	0	0	0	0
11029	.398	0	0	0	0	0	0	0	0	0	1.1238	3.6962	1.8026	8.7932	1.4994	0	10.9098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1	0	.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8275	0	0	0	0	0	0
11032	.494	0	0	0	0	0	0	0	0	0	0	26.5605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.25	0	0	0	0	0	0	0	0	0	0	0	0	17.3635	0	0	0	0	0	0	0	0	0	1.2093	.0044	0	0	0	0	0
11033	.494	0	0	0	0	0	0	0	0	.48	0	0	2.04	4.0477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1575	0	.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11035	.494	0	0	0	0	0	0	0	0	0	0	.385	0	6.0569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.2	1.6988	0	0	0	1.911	0	0	0	0	0	0	0	2.2125	0	0	0	0	0	0	0	0	0	0	1.746	0	0	0	0	0
11036	.481	0	0	0	0	0	0	0	0	0	0	0	2.688	3.6602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1095	0	0	0	0	0	0	0	.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3625	0	0	0	2.1787	0	0	0	2.668	0	0	0	0	39.606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11039	.958	0	0	0	0	0	0	0	0	0	0	.7753	0	3.7295	0	0	2.1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.075	9.1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.022	0	0	0	0	0	0
11041	.948	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8129	6.76	1.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.952	0	0	7.35	0	0	0	0	36.1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11042	1.221	0	0	0	0	0	0	0	0	0	0	0	0	14.3277	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3987	0	0	0	0	0	0	0	0	0	0	0	0	.33	0	0	0	0	0	0	.0193	.0915	0	0	0	0	0	.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.35	0	0	0	0	0	0	0	0	0	0	0	0	27.8375	0	0	0	0	0	0	0	0	0	0	.008	0	0	0	0	0
11045	1.221	0	0	0	0	0	0	0	0	0	.4388	2.9687	0	6.0369	3.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2205	.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4887	0	0	37.5375	6.75	0	0	0	0	2.5888	0	0	0	0	0	0	6.601	0	0	0	0	0	0	0	0	0	.364	.0073	0	0	0	0	0
11047	2.015	0	0	0	0	0	0	0	0	14.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.039	0	0	0	0	0	0	0	0	0	.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5317	0	0	.7065	0	0	0	0	0	0	0	0	0	0	0	0	0	.5915	0	0	0	0	0
11049	1.477	0	0	0	0	0	0	0	0	.702	0	4.3185	0	6.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.4625	2.1937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0036	0	0	0	0	0
11050	1.057	0	0	0	0	0	0	0	0	0	0	24.701	0	10.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9687	0	0	0	0	0	0	0	0	0	0	0	.502	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0
11051	1.057	0	0	0	0	0	0	0	0	4.1895	0	8.8998	0	2.2492	.1125	0	0	0	0	0	0	0	0	0	0	3.825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.475	0	0	0	0	0	.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.128	0	0	0	0	0	0	0
11052	.278	0	0	0	0	0	0	0	0	2.33	0	5.618	0	6.2549	1.325	0	8.1581	0	0	0	0	0	0	0	0	0	0	2.697	0	0	0	0	0	0	0	0	0	0	0	0	.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7738	0	0	0	27.3	5.1075	0	0	1.19	0	4.9162	0	0	0	0	0	0	2.4558	0	0	0	0	0	0	0	0	0	.9058	.0708	0	0	0	0	0
