wave	rownum	serial	area	lr8dist	lr8mes	lr7dist	lr7mes	lr6dist	lr6mes	lr5dist	lr5mes	lr4dist	lr4mes	lr3dist	lr3mes	lr2dist	lr2mes	lr1dist	lr1mes	ll1mes	ll1dist	ll2mes	ll2dist	ll3mes	ll3dist	ll4mes	ll4dist	ll5mes	ll5dist	ll6mes	ll6dist	ll7mes	ll7dist	ll8mes	ll8dist
1	36	51049N	17	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51050P	17	0	0	-	-	-	-	-	-	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	-	-	-	-	1	1	-	-
1	36	51051Q	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51052R	24	-	-	1	0	-	-	-	-	1	2	0	0	1	0	0	0	0	0	0	1	0	0	-	-	-	-	-	-	0	9	-	-
1	36	51053S	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51054T	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51055V	24	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51056W	24	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-
1	36	51057X	24	1	1	1	1	1	1	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	1	1	1	1
1	36	51058Y	25	-	-	-	-	-	-	-	-	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	-	-	-	-	-	-
1	36	51059Z	25	-	-	-	-	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
1	36	51060A	25	-	-	-	-	-	-	-	-	1	1	1	1	1	2	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	-	-	-
1	36	51061B	25	-	-	-	-	-	-	-	-	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
1	36	51062C	25	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51064E	25	-	-	-	-	-	-	-	-	-	-	0	1	1	2	-	-	-	-	1	1	1	2	-	-	1	0	-	-	-	-	-	-
1	36	51065F	25	-	-	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	-	-	-	-	0	1	1	0
1	36	51066G	25	1	1	-	-	-	-	0	0	-	-	-	-	0	0	0	0	0	0	-	-	0	0	1	1	-	-	-	-	-	-	-	-
1	36	51067H	25	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51068J	25	-	-	0	0	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-
1	36	51070L	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	0	0	0	0	0	0	0	0	0
