serial	prewt	an21s1	an21s2	an21s3	an21s4	an21s5	an21s6	an21s7	an21s8	an21s9	an21s10	an21s11	an21s12	an21s13	an21s14	an21s15	an21s16	an21s17	an21s18	an21s19	an21s20	an21s21	an21s22	an21s23	an21s24	an21s25	an21s26	an21s27	an21s28	an21s29	an21s30	an21s31	an21s32	an21s33	an21s34	an21s35	an21s36	an21s37	an21s38	an21s39	an21s40	an21s41	an21s42	an21s43	an21s44	an21s45	an21s46	an21s47	an21s48	an21s49	an21s50	an21s51	an21s52	an21s53	an21s54	an21s55	an21s56	an21s57	an21s58	an21s59	an21s60	an21s61	an21s62	an21s63	an21s64	an21s65	an21s66	an21s67	an21s68	an21s69	an21s70	an21s71	an21s72	an21s73	an21s74	an21s75	an21s76	an21s77	an21s78	an21s79	an21s80	an21s81	an21s82	an21s83	an21s84	an21s85	an21s86	an21s87	an21s88	an21s89	an21s90	an21s91	an21s92	an21s93	an21s94	an21s95	an21s96	an21s97	an21s98	an21s99	an21s100	an21s101	an21s102	an21s103	an21s104	an21s105	an21s106	an21s107
11002	.406	0	0	0	0	92.525	0	0	22.1918	0	0	18.935	0	54.2183	40.14	0	0	231.725	0	0	2.805	0	0	66.6	0	0	0	0	0	0	.9375	0	0	0	0	0	.16	0	0	0	2.135	15.935	.525	0	0	3.2325	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	3	1.2	0	0	4.42	0	0	0	8.075	0	3.7125	3.2	1.11	0	0	0	0	3.0375	.4375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.275	0	0	0	0	0	15.365	1.9654	0	0	0	0	0
11003	.504	0	0	0	0	23.1	37.125	0	0	44.275	1.3125	37.5693	0	115.2223	0	0	0	379.5	0	0	7.5	0	0	25.2	0	241.975	0	0	0	0	0	0	0	0	0	0	0	0	5.355	0	.69	2.8405	0	0	0	17.847	0	0	0	0	4.9275	34.5	0	0	0	0	0	.9625	0	0	0	0	0	0	44.3586	.4425	3.48	0	0	15.34	0	.6175	1.5275	0	0	0	4.9675	3.0647	.625	7	0	0	0	8.5	0	0	0	0	0	0	0	0	0	0	0	5.2	0	0	0	0	0	25.525	.6375	0	0	0	0	0
11005	.504	5.04	0	0	4.1607	107.7	0	0	0	0	6.0775	36.5675	22.1075	40.847	0	0	0	0	0	156.475	2.88	406.725	0	30.6	0	0	0	0	14.69	0	0	0	0	0	0	0	0	0	4.655	0	.62	1.12	11.715	6.5225	0	0	0	0	0	17.395	0	10.7368	0	0	0	0	0	0	15.21	0	16.56	0	0	0	0	6.37	.7191	0	0	11.75	0	0	0	0	0	1.47	0	0	5.925	.2375	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	.35	0	0	0	0	0	0	1.5111	0	0	0	0	0
11007	.952	0	0	0	0	183.9	0	0	0	0	.9375	40.5925	0	22.54	0	0	0	162.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.025	0	.585	.5375	0	0	0	0	0	0	0	27.9075	4.6575	0	0	0	0	0	0	0	0	0	0	0	0	1.3195	0	0	0	0	0	0	.2175	.24	0	0	0	0	2.72	0	.35	3.44	0	0	0	0	4.925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.215	0	0	0	0	0
11008	1.404	0	0	0	0	46.8	0	0	0	21.15	0	2.475	0	8.265	0	0	0	217.925	0	0	0	0	0	90	0	0	0	35.75	0	0	1.425	0	0	0	0	0	0	0	0	0	0	2.085	0	0	0	7.715	0	0	0	0	0	13.112	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4225	2.4	0	0	17.4525	0	2.51	7.625	.495	0	0	0	0	0	0	0	0	0	0	.66	0	0	0	5.65	0	0	0	0	0	0	3.85	0	0	0	0	0	38.7997	45.3509	250	0	0	0	0
11010	1.404	0	0	0	0	14.4	0	0	57.225	110.0904	3.6	2.7	0	172.4669	0	0	40.0698	0	366.3	0	0	0	0	51	0	74.6875	0	36.075	7.125	0	0	0	0	0	.78	0	0	0	0	0	1.3475	6.0239	0	0	0	0	0	0	0	19.7	0	5.6876	0	0	0	0	0	0	2.73	0	0	0	0	0	0	12.9375	2.5932	0	0	2.625	1.5225	3.065	7.7625	0	0	0	7.04	0	0	1.48	0	0	10.5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	16.2608	0	0	0	0	0	0
11011	.978	0	0	0	0	4.2	0	0	132	10.0401	0	23.7604	0	42.6456	0	0	58.8188	0	88.8	0	3.75	0	0	60	0	85.875	0	0	7.125	0	.5625	0	0	0	0	0	.05	0	1.715	0	.825	5.25	0	0	0	0	0	.85	0	0	0	0	0	19.7531	0	0	0	0	0	0	0	6.175	0	0	17.3572	7.875	11.5418	0	0	1.5	0	3	0	1.5	0	0	0	0	0	1.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.607	38.811	0	0	0	0	0
11012	.978	0	0	50.8235	0	83.9625	0	0	36.1646	10.0625	0	9.375	6.885	23.2035	0	0	0	342.7	7.2	0	0	36.25	0	0	0	0	0	0	30.3576	0	.3	0	0	5.46	0	0	0	0	0	0	1.1	9.5	0	2.835	2.7825	27.13	0	0	14	0	0	0	0	0	0	5.6875	0	2.345	0	0	0	43.51	0	0	0	18.39	0	0	0	4.4375	0	3.79	12.54	0	0	0	0	0	.275	.52	0	0	0	8.75	5.675	0	0	0	0	.4725	0	0	0	0	0	.7	0	0	0	0	0	31.4756	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	453.3859	0	0	3.45	35.8725	0	0	18.7446	0	0	0	255	0	0	0	0	0	0	0	0	0	30.5267	0	0	0	0	0	8.97	0	0	0	0	0	5.7175	0	0	5.6	0	0	0	1.75	0	0	12.4275	0	0	0	0	0	.35	1.0675	0	0	0	18	0	1.008	0	2.775	3.48	0	0	19.11	0	0	0	0	0	3.445	0	0	0	3.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7259	0	0	0	0	0	0
11014	1.22	0	0	0	0	64.4	15.795	0	0	19.6704	0	14.0625	10.8	83.0232	0	0	0	0	165	0	0	0	0	120.25	0	0	0	19.175	16.638	0	0	0	0	0	0	0	0	0	.49	0	.875	0	0	3.745	0	0	0	6.12	0	14.8976	1.25	6.6666	0	8.3135	0	0	0	1.5225	0	0	0	0	3.66	0	0	0	4.2147	0	0	.9	0	2.25	0	.81	0	0	4.9775	0	0	.9975	0	0	27.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
