serial	prewt	an22s1	an22s2	an22s3	an22s4	an22s5	an22s6	an22s7	an22s8	an22s9	an22s10	an22s11	an22s12	an22s13	an22s14	an22s15	an22s16	an22s17	an22s18	an22s19	an22s20	an22s21	an22s22	an22s23	an22s24	an22s25	an22s26	an22s27	an22s28	an22s29	an22s30	an22s31	an22s32	an22s33	an22s34	an22s35	an22s36	an22s37	an22s38	an22s39	an22s40	an22s41	an22s42	an22s43	an22s44	an22s45	an22s46	an22s47	an22s48	an22s49	an22s50	an22s51	an22s52	an22s53	an22s54	an22s55	an22s56	an22s57	an22s58	an22s59	an22s60	an22s61	an22s62	an22s63	an22s64	an22s65	an22s66	an22s67	an22s68	an22s69	an22s70	an22s71	an22s72	an22s73	an22s74	an22s75	an22s76	an22s77	an22s78	an22s79	an22s80	an22s81	an22s82	an22s83	an22s84	an22s85	an22s86	an22s87	an22s88	an22s89	an22s90	an22s91	an22s92	an22s93	an22s94	an22s95	an22s96	an22s97	an22s98	an22s99	an22s100	an22s101	an22s102	an22s103	an22s104	an22s105	an22s106	an22s107
11002	.406	0	0	0	0	18.915	0	0	4.233	0	0	4.6275	0	18.7731	3.939	0	0	22.165	0	0	.2975	0	0	2.3125	0	0	0	0	0	0	.125	0	0	0	0	0	.04	0	0	0	6.71	10.0021	1.875	0	0	4.645	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	1.95	.15	0	0	.68	0	0	0	21.41	0	2.3625	1.2	6.29	0	0	0	0	.6075	.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.825	2.785	0	0	0	0	5.4875	.3285	0	0	0	0	0
11003	.504	0	0	0	0	5.005	52.28	0	0	34.2125	2.625	9.0634	0	32.9734	0	0	0	36.3	0	0	.9	0	0	.875	0	24.1975	0	0	0	0	0	0	0	0	0	0	0	0	.765	0	2.53	1.4283	0	0	0	12.9114	0	0	0	0	2.7375	6.0375	0	0	0	0	0	.9625	0	0	0	0	0	0	5.4795	5.015	7.83	0	0	21.24	0	.65	.325	0	0	0	4.5025	7.2023	.125	.8	0	0	0	6.8	0	0	0	0	0	0	0	0	0	0	0	12.8	9.41	0	0	0	0	11.82	.45	0	0	0	0	0
11005	.504	3.78	0	0	.5197	22.94	0	0	0	0	12.4975	6.38	4.6325	10.7604	0	0	0	0	0	15.6475	.27	40.6725	0	1.0625	0	0	0	0	3.0903	0	0	0	0	0	0	0	0	0	.665	0	1.7825	3.84	5.68	10.16	0	0	0	0	0	5.68	0	9.704	0	0	0	0	0	0	10.075	0	10.695	0	0	0	0	.98	2.4471	0	0	7.61	0	0	0	0	0	2.45	0	0	1.185	.095	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	.825	14.775	0	0	0	0	0	.2731	0	0	0	0	0
11007	.952	0	0	0	0	36.78	0	0	0	0	3.325	8.9675	0	5.88	0	0	0	15.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.575	0	1.365	2.6875	0	0	0	0	0	0	0	6.8625	2.5875	0	0	0	0	0	0	0	0	0	0	0	0	1.183	0	0	0	0	0	0	.2925	.15	0	0	0	0	1.7	0	.07	.54	0	0	0	0	3.805	0	0	0	0	0	0	0	0	0	0	0	5.845	0	0	0	0	0	.145	0	0	0	0	0
11008	1.404	0	0	0	0	9.815	0	0	0	40.5	0	5.5	0	2.28	0	0	0	20.845	0	0	0	0	0	3.125	0	0	0	3.575	0	0	.19	0	0	0	0	0	0	0	0	0	0	9.3825	0	0	0	13.38	0	0	0	0	0	10.8286	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2825	9.9	0	0	24.165	0	2.8075	2.135	2.805	0	0	0	0	0	0	0	0	0	0	.11	0	0	0	3.955	0	0	0	0	0	0	9.075	0	0	0	0	0	24.0793	4.7062	0	0	0	0	0
11010	1.404	0	0	0	0	3.12	0	0	26.64	21.1008	3.6	6	0	26.5565	0	0	7.2841	0	33.5775	0	0	0	0	1.87	0	8.75	0	3.6075	1.5	0	0	0	0	0	.08	0	0	0	0	0	4.1325	3.0289	0	0	0	0	0	0	0	7.2514	0	4.2086	0	0	0	0	0	0	2.31	0	0	0	0	0	0	1.725	6.0528	0	0	7.35	2.0475	3.37	3.0375	0	0	0	7.04	0	0	.405	0	0	2.73	0	0	0	0	0	3.5	0	0	0	0	0	0	0	6.4875	0	0	0	0	8.376	0	0	0	0	0	0
11011	.978	0	0	0	0	.84	0	0	61.6	21.4914	0	5.3342	0	4.128	0	0	8.376	0	8.14	0	.45	0	0	2.2	0	8.5875	0	0	1.5	0	.075	0	0	0	0	0	.0125	0	.245	0	3.025	6.65	0	0	0	0	0	1.87	0	0	0	0	0	13.0437	0	0	0	0	0	0	0	.7125	0	0	5.4194	3.6	33.5692	0	0	3.6	0	1.875	0	8.5	0	0	0	0	0	.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1225	0	0	0	0	15.117	2.7494	0	0	0	0	0
11012	.978	0	0	7.6545	0	17.1525	0	0	21.3528	34.5	0	2.55	1.62	6.589	0	0	0	32.78	.66	0	0	3.625	0	0	0	0	0	0	6.2554	0	.04	0	0	.56	0	0	0	0	0	0	3.2	6.65	0	5.265	2.5162	13.48	0	0	2.625	0	0	0	0	0	0	.6825	0	2.345	0	0	0	4.74	0	0	0	7.3875	0	0	0	12.425	0	3.1125	2.66	0	0	0	0	0	.055	.06	0	0	0	7	3.655	0	0	0	0	.7425	0	0	0	0	0	1.65	3.58	0	0	0	0	8.9875	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	81.6034	0	0	3.22	6.7125	0	0	5.7204	0	0	0	23.375	0	0	0	0	0	0	0	0	0	6.4265	0	0	0	0	0	.92	0	0	0	0	0	15.4425	0	0	11.2	0	0	0	3.85	0	0	8.8475	0	0	0	0	0	.0275	1.0675	0	0	0	4.56	0	1.008	0	4.995	7.83	0	0	26.46	0	0	0	0	0	1.9875	0	0	0	.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.45	0	0	0	0	8.317	0	0	0	0	0	0
11014	1.22	0	0	0	0	13.065	22.23	0	0	42.1056	0	3.825	2.025	17.5181	0	0	0	0	15.125	0	0	0	0	4.225	0	0	0	3.9825	3.5025	0	0	0	0	0	0	0	0	0	.07	0	2.625	0	0	6.955	0	0	0	2.88	0	2.1824	2	6.0254	0	2.7079	0	0	0	1.5225	0	0	0	0	.4575	0	0	0	14.3427	0	0	2.52	0	2.8125	0	4.59	0	0	4.9775	0	0	.3675	0	0	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	23.46	0	0	0	0	0	0	0	0	0	0	0
