serial	prewt	an28s1	an28s2	an28s3	an28s4	an28s5	an28s6	an28s7	an28s8	an28s9	an28s10	an28s11	an28s12	an28s13	an28s14	an28s15	an28s16	an28s17	an28s18	an28s19	an28s20	an28s21	an28s22	an28s23	an28s24	an28s25	an28s26	an28s27	an28s28	an28s29	an28s30	an28s31	an28s32	an28s33	an28s34	an28s35	an28s36	an28s37	an28s38	an28s39	an28s40	an28s41	an28s42	an28s43	an28s44	an28s45	an28s46	an28s47	an28s48	an28s49	an28s50	an28s51	an28s52	an28s53	an28s54	an28s55	an28s56	an28s57	an28s58	an28s59	an28s60	an28s61	an28s62	an28s63	an28s64	an28s65	an28s66	an28s67	an28s68	an28s69	an28s70	an28s71	an28s72	an28s73	an28s74	an28s75	an28s76	an28s77	an28s78	an28s79	an28s80	an28s81	an28s82	an28s83	an28s84	an28s85	an28s86	an28s87	an28s88	an28s89	an28s90	an28s91	an28s92	an28s93	an28s94	an28s95	an28s96	an28s97	an28s98	an28s99	an28s100	an28s101	an28s102	an28s103	an28s104	an28s105	an28s106	an28s107
11002	.406	0	0	0	0	5.3725	0	0	3.5615	0	0	2.8775	0	31.936	7.656	0	0	43.3925	0	0	.085	0	0	3.6075	0	0	0	0	0	0	2.375	0	0	0	0	0	1.08	0	0	0	2.135	9.8331	.225	0	0	3.3375	0	0	0	0	0	0	0	0	0	0	0	0	0	.3	0	.15	.1	0	0	.34	0	0	0	4.845	0	.3375	.2	1.48	0	0	0	0	0	.0875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.475	2.785	0	0	0	0	3.2925	.2003	0	0	0	0	0
11003	.504	0	0	0	0	3.6575	0	0	0	2.415	2.625	6.2233	0	115.5802	0	0	0	23.1	0	0	0	0	0	1.365	0	76.08	0	0	0	0	0	0	0	0	0	0	0	0	14.535	0	.345	1.3674	0	0	0	5.5507	0	0	0	0	2.7375	71.875	0	0	0	0	0	.275	0	0	0	0	0	0	3.9429	.295	.87	0	0	3.54	0	0	.065	0	0	0	1.5175	.5187	0	1.4	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	1.9	9.41	0	0	0	0	8.8594	.075	0	0	0	0	0
11005	.504	7.875	0	0	.8635	6.1875	0	0	0	0	3.6225	4.3375	2.8175	5.2723	0	0	0	0	0	21.3375	.06	15.4275	0	1.6575	0	0	0	0	13.81	0	0	0	0	0	0	0	0	0	12.635	0	.62	2.4	2.13	2.7675	0	0	0	0	0	2.84	0	42.5531	0	0	0	0	0	0	2.8975	0	1.035	0	0	0	0	.49	.4977	0	0	1.92	0	0	0	0	0	1.47	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	14.775	0	0	0	0	0	.2108	0	0	0	0	0
11007	.952	0	0	0	0	10.935	0	0	0	0	1.44	5.05	0	2.45	0	0	0	9.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.925	0	.455	.9675	0	0	0	0	0	0	0	1.3725	2.5875	0	0	0	0	0	0	0	0	0	0	0	0	.7329	0	0	0	0	0	0	.015	0	0	0	0	0	1.53	0	0	1.26	0	0	0	0	2.955	0	0	0	0	0	0	0	0	0	0	0	5.845	0	0	0	0	0	.01	0	0	0	0	0
11008	1.404	0	0	0	0	5.4925	0	0	0	2.7	0	.825	0	1.995	0	0	0	13.265	0	0	0	0	0	4.875	0	0	0	.55	0	0	3.61	0	0	0	0	0	0	0	0	0	0	3.8225	0	0	0	3.35	0	0	0	0	0	96.4849	0	0	0	0	0	0	0	0	0	0	0	0	0	.2275	2.1	0	0	4.0275	0	0	.305	.66	0	0	0	0	0	0	0	0	0	0	.33	0	0	0	4.52	0	0	0	0	0	0	0	0	0	0	0	0	4.9808	8.7171	0	0	0	0	0
11010	1.404	0	0	0	0	2.28	0	0	8.335	8.2824	1.8	.9	0	59.2765	0	0	8.6877	0	27.4725	0	0	0	0	2.465	0	30	0	.555	6.625	0	0	0	0	0	.54	0	0	0	0	0	1.2275	2.8997	0	0	0	0	0	0	0	5.06	0	8.5369	0	0	0	0	0	0	.21	0	0	0	0	0	0	.575	1.5813	0	0	1.575	.105	0	.3375	0	0	0	2.56	0	0	.595	0	0	.525	0	0	0	0	0	4	0	0	0	0	0	0	0	6.4875	0	0	0	0	2.9451	0	0	0	0	0	0
11011	.978	0	0	0	0	.245	0	0	24.2	1.6758	0	3.0554	0	4.3752	0	0	12.3374	0	6.66	0	0	0	0	2.9	0	27.48	0	0	6.625	0	1.425	0	0	0	0	0	.3375	0	4.655	0	.4125	4.2	0	0	0	0	0	.255	0	0	0	0	0	86.7656	0	0	0	0	0	0	0	.475	0	0	2.065	.45	5.7998	0	0	.9	0	.375	0	2	0	0	0	0	0	.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1225	0	0	0	0	15.2101	4.6616	0	0	0	0	0
11012	.978	0	0	3.5665	0	6.2	0	0	2.4087	.2875	0	.825	.945	33.4005	0	0	0	20.86	.54	0	0	1.375	0	0	0	0	0	0	26.0484	0	.76	0	0	3.78	0	0	0	0	0	0	.95	2.375	0	.6075	1.6969	4.02	0	0	1.05	0	0	0	0	0	0	.455	0	.67	0	0	0	1.03	0	0	0	.4625	0	0	0	2.6625	0	0	.38	0	0	0	0	0	0	.14	0	0	0	1.75	3.405	0	0	0	0	.54	0	0	0	0	0	0	3.58	0	0	0	0	4.5427	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	42.3133	0	0	2.3	5.0475	0	0	6.5856	0	0	0	19.125	0	0	0	0	0	0	0	0	0	28.4817	0	0	0	0	0	6.21	0	0	0	0	0	5.7175	0	0	1.2	0	0	0	.525	0	0	10.095	0	0	0	0	0	.005	.305	0	0	0	.48	0	.3752	0	.37	.87	0	0	4.41	0	0	0	0	0	.1325	0	0	0	.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.45	0	0	0	0	5.6387	0	0	0	0	0	0
11014	1.22	0	0	0	0	4.9275	0	0	0	3.2832	0	1.2375	1.125	15.5945	0	0	0	0	28.875	0	0	0	0	7.475	0	0	0	.6387	15.603	0	0	0	0	0	0	0	0	0	1.33	0	.875	0	0	.8025	0	0	0	.36	0	1.7312	1.375	26.4219	0	25.1654	0	0	0	.435	0	0	0	0	.305	0	0	0	2.9171	0	0	.54	0	0	0	1.08	0	0	1.81	0	0	.3675	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	11.73	0	0	0	0	0	0	0	0	0	0	0
