wave	rownum	serial	area	upd1	lpd1	upd2	lpd2	upd3	lpd3	upd4	lpd4	upd5	lpd5	upd6	lpd6	upd7	lpd7	upd8	lpd8	ever	ucd1	lcd1	ucd2	lcd2	ucd3	lcd3	cd4	ucd5	lcd5	defu1	defl1	defu2	defl2	defu3	defl3	cd6	cd7	ucd8	lcd8	ucd9	lcd9	ucd10	lcd10	ucd11	lcd11	cd12	cd13
1	39	51038B	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51039C	16	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51040D	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	1
1	39	51041E	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1
1	39	51042F	17	 	1	 	1	 	1	 	2	 	1	 	1	 	1	 	1	0	1	 	1	 	1	 	1	1	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	1	1
1	39	51043G	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51044H	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51045J	17	1	0	1	 	1	 	3	 	1	 	1	 	1	 	1	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51046K	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51047L	17	0	1	 	0	 	1	 	2	 	1	 	1	 	1	 	1	0	1	 	1	 	1	 	0	1	 	0	 	0	 	0	 	1	 	1	 	1	 	2	 	1	 	2	1
1	39	51049N	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	1
1	39	51050P	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51051Q	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	2	2	1	2	1	1	1	1	2
1	39	51052R	24	1	 	1	 	1	 	2	 	1	 	3	 	1	 	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1	39	51053S	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	2	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51054T	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	1	0	0	0	0	0	0	1	1	1	2	1	2	1	2	1	1	1	2
1	39	51055V	24	 	1	 	0	 	1	 	1	 	0	 	2	 	1	 	1	0	1	 	1	 	1	 	1	1	 	0	 	0	 	0	 	1	 	1	 	1	 	2	 	1	 	1	2
1	39	51056W	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51057X	24	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51058Y	25	1	0	1	 	1	 	1	 	1	 	1	 	1	 	1	 	1	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51059Z	25	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51060A	25	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	 	1	 	2	 	1	1	 	0	 	0	 	0	 	1	1	1	 	2	 	1	 	2	 	1	2
1	39	51061B	25	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	1	 	1	 	 	1	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	2	1
1	39	51062C	25	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	3	1	1	1	1	1	2	1	1	1	1	3
1	39	51064E	25	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0
1	39	51065F	25	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51066G	25	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1	39	51067H	25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51068J	25	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51070L	32	0	1	 	0	 	1	 	1	 	1	 	1	 	1	 	1	0	1	0	1	 	1	 	1	1	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	1	1
1	39	51071M	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	2	2	1	1	1	0	0	0	0	0	0	1	1	1	2	1	2	1	2	1	1	2	2
1	39	51072N	32	1	0	1	 	1	 	3	 	0	 	1	 	1	 	1	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51073P	32	1	0	1	 	1	 	2	 	1	 	2	 	1	 	2	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
