wave	rownum	serial	area	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7
1	29	51095N	40	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51096P	40	0	1	1	0	0	0	0	0	0	0	0	0	1	0
1	29	51097Q	40	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1	29	51098R	40	0	1	1	1	0	0	1	0	0	0	0	0	1	0
1	29	51099S	40	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51100T	40	2	2	2	2	2	2	2	2	2	2	2	2	2	0
1	29	51101V	40	0	0	1	0	0	0	0	0	0	0	0	0	1	0
1	29	51102W	40	1	0	0	0	0	0	0	0	0	0	0	1	1	1
1	29	51103X	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51104Y	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51105Z	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51107B	41	0	0	0	0	0	0	2	2	2	0	2	0	0	0
1	29	51108C	41	1	0	0	0	0	0	0	0	0	0	0	0	1	1
1	29	51109D	41	1	0	1	1	0	0	0	0	0	0	0	1	1	1
1	29	51110E	41	1	1	1	1	0	0	0	0	0	0	-	-	-	-
1	29	51111F	41	1	0	1	0	0	0	0	0	0	0	0	1	1	0
1	29	51112G	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51113H	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51114J	48	0	1	0	0	0	0	0	0	0	0	0	0	1	1
1	29	51115K	48	1	1	1	0	0	0	0	0	0	0	1	1	1	1
1	29	51116L	48	2	2	0	0	0	0	0	0	0	0	0	0	2	2
1	29	51117M	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51118N	48	0	1	1	0	0	0	0	0	0	0	0	0	1	0
1	29	51119P	48	1	1	0	0	0	0	0	0	0	0	0	0	1	1
1	29	51120Q	48	2	2	0	0	0	0	0	0	0	0	2	2	2	2
1	29	51121R	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51122S	49	1	1	1	0	0	0	0	0	1	1	1	0	1	0
1	29	51123T	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51125W	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51127Y	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51128Z	49	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	29	51129A	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51130B	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	29	51131C	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51132D	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51133E	49	1	1	1	1	2	2	2	2	2	2	1	1	1	1
1	29	51134F	56	1	1	1	1	0	0	0	0	0	0	1	1	1	1
1	29	51135G	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51136H	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51137J	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51138K	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51139L	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51141N	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51142P	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51143Q	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51144R	57	1	1	0	1	0	0	0	0	0	0	1	0	1	1
1	29	51145S	57	1	1	1	1	0	0	0	0	0	0	1	1	1	0
1	29	51146T	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51147V	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51148W	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51149X	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51150Y	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51151Z	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51152A	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51153B	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51154C	64	2	2	2	2	0	2	2	2	2	0	0	0	2	2
1	29	51155D	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51156E	64	2	2	0	0	0	0	0	0	0	0	0	0	2	2
1	29	51158G	64	0	1	0	0	0	0	0	0	0	0	0	1	1	1
1	29	51159H	64	1	1	1	0	0	0	0	0	0	0	1	1	0	1
