serial	prewt	an54s1	an54s2	an54s3	an54s4	an54s5	an54s6	an54s7	an54s8	an54s9	an54s10	an54s11	an54s12	an54s13	an54s14	an54s15	an54s16	an54s17	an54s18	an54s19	an54s20	an54s21	an54s22	an54s23	an54s24	an54s25	an54s26	an54s27	an54s28	an54s29	an54s30	an54s31	an54s32	an54s33	an54s34	an54s35	an54s36	an54s37	an54s38	an54s39	an54s40	an54s41	an54s42	an54s43	an54s44	an54s45	an54s46	an54s47	an54s48	an54s49	an54s50	an54s51	an54s52	an54s53	an54s54	an54s55	an54s56	an54s57	an54s58	an54s59	an54s60	an54s61	an54s62	an54s63	an54s64	an54s65	an54s66	an54s67	an54s68	an54s69	an54s70	an54s71	an54s72	an54s73	an54s74	an54s75	an54s76	an54s77	an54s78	an54s79	an54s80	an54s81	an54s82	an54s83	an54s84	an54s85	an54s86	an54s87	an54s88	an54s89	an54s90	an54s91	an54s92	an54s93	an54s94	an54s95	an54s96	an54s97	an54s98	an54s99	an54s100	an54s101	an54s102	an54s103	an54s104	an54s105	an54s106	an54s107
11002	.406	0	0	0	0	1.3725	0	0	.3145	0	0	.4345	0	1.6432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.285	0	.465	.125	0	0	.119	0	0	0	1.878	0	.5738	.18	.2035	0	0	0	0	0	.0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1098	.0405	0	0	0	0	0
11003	.504	0	0	0	0	.2888	3.9095	0	0	2.576	.2363	.8887	0	1.7764	0	0	0	0	0	0	0	0	0	0	0	.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0624	0	0	0	.3097	0	0	0	0	0	.345	0	0	0	0	0	.1375	0	0	0	0	0	0	.4563	.3245	.58	0	0	1.77	0	.3185	.0553	0	0	0	.2343	.2009	0	.12	0	0	0	.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1025	.0488	0	0	0	0	0
11005	.504	.2835	0	0	.0276	1.563	0	0	0	0	.7847	.6155	.7245	.6769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.2485	0	.0956	0	0	0	0	0	0	2.2147	0	1.2075	0	0	0	0	.1715	.1863	0	0	.588	0	0	0	0	0	.441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0301	0	0	0	0	0
11007	.952	0	0	0	0	2.7585	0	0	0	0	.089	.7303	0	.392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.366	0	0	0	0	0	0	0	0	0	0	0	0	0	.1658	0	0	0	0	0	0	.0398	.051	0	0	0	0	.187	0	0	.1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0035	0	0	0	0	0
11008	1.404	0	0	0	0	.6337	0	0	0	3.42	0	.6435	0	.0855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1006	0	0	0	0	0	0	0	0	0	0	0	0	0	.6393	.51	0	0	2.0137	0	1.0635	.2745	.0908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2994	.0907	0	0	0	0	0
11010	1.404	0	0	0	0	.18	0	0	1.6643	.7392	.0144	.702	0	1.9428	0	0	.2463	0	0	0	0	0	0	0	0	.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1322	0	0	0	0	0	0	0	.3431	0	.0348	0	0	0	0	0	0	.4305	0	0	0	0	0	0	.5463	.4318	0	0	.63	.2783	1.533	.4388	0	0	0	.32	0	0	.0585	0	0	.1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.9131	0	0	0	0	0	0
11011	.978	0	0	0	0	.063	0	0	3.63	1.2201	0	.3927	0	.4488	0	0	.3667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.3563	0	0	.1722	.3825	2.5327	0	0	.33	0	.4125	0	.275	0	0	0	0	0	.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4181	.065	0	0	0	0	0
11012	.978	0	0	.6615	0	1.2105	0	0	1.2028	2.7887	0	.1125	.243	.3655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4275	0	0	.0244	.319	0	0	.1225	0	0	0	0	0	0	.546	0	.335	0	0	0	1.1305	0	0	0	1.2025	0	0	0	1.065	0	1.088	.456	0	0	0	0	0	0	.006	0	0	0	.0875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2888	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	15.7161	0	0	.207	.5505	0	0	.0189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.053	0	0	0	0	0	.0043	.1525	0	0	0	1.02	0	.1428	0	.851	.58	0	0	2.205	0	0	0	0	0	.371	0	0	0	.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.8231	0	0	0	0	0	0
11014	1.22	0	0	0	0	.9383	1.6965	0	0	2.3904	0	.1688	.3825	1.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.036	0	.2464	0	.0594	0	0	0	0	0	.2175	0	0	0	0	.3812	0	0	0	1.0919	0	0	.216	0	1.0125	0	.1485	0	0	.2263	0	0	.0473	0	0	.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11017	1.247	0	.083	0	0	0	3.6285	0	0	4.8193	.1418	.8475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.3325	0	0	0	0	0	0	0	0	.1325	.0911	0	0	0	0	0	0	.8032	.408	0	0	0	0	0	.3847	.451	0	0	.849	0	0	0	.3988	0	.7748	0	0	0	.0907	0	0	.1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0909	0	0	0	0	0
